FIPS,State,County
04017,Arizona,Navajo County
04019,Arizona,Pima County
04021,Arizona,Pinal County
04023,Arizona,Santa Cruz County
04025,Arizona,Yavapai County
04027,Arizona,Yuma County
05001,Arkansas,Arkansas County
05003,Arkansas,Ashley County
05005,Arkansas,Baxter County
05007,Arkansas,Benton County
05009,Arkansas,Boone County
05011,Arkansas,Bradley County
05013,Arkansas,Calhoun County
05015,Arkansas,Carroll County
05017,Arkansas,Chicot County
05019,Arkansas,Clark County
05021,Arkansas,Clay County
05023,Arkansas,Cleburne County
05025,Arkansas,Cleveland County
05027,Arkansas,Columbia County
05029,Arkansas,Conway County
05031,Arkansas,Craighead County
05033,Arkansas,Crawford County
05035,Arkansas,Crittenden County
05037,Arkansas,Cross County
05039,Arkansas,Dallas County
05041,Arkansas,Desha County
05043,Arkansas,Drew County
05045,Arkansas,Faulkner County
05047,Arkansas,Franklin County
05049,Arkansas,Fulton County
05051,Arkansas,Garland County
05053,Arkansas,Grant County
05055,Arkansas,Greene County
05057,Arkansas,Hempstead County
05059,Arkansas,Hot Spring County
05061,Arkansas,Howard County
05063,Arkansas,Independence County
05065,Arkansas,Izard County
05067,Arkansas,Jackson County
05069,Arkansas,Jefferson County
05071,Arkansas,Johnson County
05073,Arkansas,Lafayette County
05075,Arkansas,Lawrence County
05077,Arkansas,Lee County
05079,Arkansas,Lincoln County
05081,Arkansas,Little River County
05083,Arkansas,Logan County
05085,Arkansas,Lonoke County
05087,Arkansas,Madison County
05089,Arkansas,Marion County
05091,Arkansas,Miller County
05093,Arkansas,Mississippi County
05095,Arkansas,Monroe County
05097,Arkansas,Montgomery County
05099,Arkansas,Nevada County
05101,Arkansas,Newton County
05103,Arkansas,Ouachita County
05105,Arkansas,Perry County
05107,Arkansas,Phillips County
05109,Arkansas,Pike County
05111,Arkansas,Poinsett County
05113,Arkansas,Polk County
05115,Arkansas,Pope County
05117,Arkansas,Prairie County
05119,Arkansas,Pulaski County
05121,Arkansas,Randolph County
05123,Arkansas,St. Francis County
05125,Arkansas,Saline County
05127,Arkansas,Scott County
05129,Arkansas,Searcy County
05131,Arkansas,Sebastian County
05133,Arkansas,Sevier County
05135,Arkansas,Sharp County
05137,Arkansas,Stone County
05139,Arkansas,Union County
05141,Arkansas,Van Buren County
05143,Arkansas,Washington County
05145,Arkansas,White County
05147,Arkansas,Woodruff County
05149,Arkansas,Yell County
06001,California,Alameda County
06003,California,Alpine County
06005,California,Amador County
06007,California,Butte County
06009,California,Calaveras County
06011,California,Colusa County
06013,California,Contra Costa County
06015,California,Del Norte County
06017,California,El Dorado County
06019,California,Fresno County
06021,California,Glenn County
06023,California,Humboldt County
06025,California,Imperial County
06027,California,Inyo County
06029,California,Kern County
06031,California,Kings County
06033,California,Lake County
06035,California,Lassen County
06037,California,Los Angeles County
06039,California,Madera County
06041,California,Marin County
06043,California,Mariposa County
06045,California,Mendocino County
06047,California,Merced County
06049,California,Modoc County
06051,California,Mono County
06053,California,Monterey County
06055,California,Napa County
06057,California,Nevada County
06059,California,Orange County
06061,California,Placer County
06063,California,Plumas County
06065,California,Riverside County
06067,California,Sacramento County
06069,California,San Benito County
06071,California,San Bernardino County
06073,California,San Diego County
06075,California,San Francisco County
06077,California,San Joaquin County
06079,California,San Luis Obispo County
06081,California,San Mateo County
06083,California,Santa Barbara County
06085,California,Santa Clara County
06087,California,Santa Cruz County
06089,California,Shasta County
06091,California,Sierra County
06093,California,Siskiyou County
06095,California,Solano County
06097,California,Sonoma County
06099,California,Stanislaus County
06101,California,Sutter County
06103,California,Tehama County
06105,California,Trinity County
06107,California,Tulare County
06109,California,Tuolumne County
06111,California,Ventura County
06113,California,Yolo County
06115,California,Yuba County
08001,Colorado,Adams County
08003,Colorado,Alamosa County
08005,Colorado,Arapahoe County
08007,Colorado,Archuleta County
08009,Colorado,Baca County
08011,Colorado,Bent County
08013,Colorado,Boulder County
08014,Colorado,Broomfield County
08015,Colorado,Chaffee County
08017,Colorado,Cheyenne County
08019,Colorado,Clear Creek County
08021,Colorado,Conejos County
08023,Colorado,Costilla County
08025,Colorado,Crowley County
08027,Colorado,Custer County
08029,Colorado,Delta County
08031,Colorado,Denver County
08033,Colorado,Dolores County
08035,Colorado,Douglas County
08037,Colorado,Eagle County
08039,Colorado,Elbert County
08041,Colorado,El Paso County
08043,Colorado,Fremont County
08045,Colorado,Garfield County
08047,Colorado,Gilpin County
08049,Colorado,Grand County
08051,Colorado,Gunnison County
08053,Colorado,Hinsdale County
08055,Colorado,Huerfano County
08057,Colorado,Jackson County
08059,Colorado,Jefferson County
08061,Colorado,Kiowa County
08063,Colorado,Kit Carson County
08065,Colorado,Lake County
08067,Colorado,La Plata County
08069,Colorado,Larimer County
08071,Colorado,Las Animas County
08073,Colorado,Lincoln County
08075,Colorado,Logan County
08077,Colorado,Mesa County
08079,Colorado,Mineral County
08081,Colorado,Moffat County
08083,Colorado,Montezuma County
08085,Colorado,Montrose County
08087,Colorado,Morgan County
08089,Colorado,Otero County
08091,Colorado,Ouray County
08093,Colorado,Park County
08095,Colorado,Phillips County
08097,Colorado,Pitkin County
08099,Colorado,Prowers County
08101,Colorado,Pueblo County
08103,Colorado,Rio Blanco County
08105,Colorado,Rio Grande County
08107,Colorado,Routt County
08109,Colorado,Saguache County
08111,Colorado,San Juan County
08113,Colorado,San Miguel County
08115,Colorado,Sedgwick County
08117,Colorado,Summit County
08119,Colorado,Teller County
08121,Colorado,Washington County
08123,Colorado,Weld County
08125,Colorado,Yuma County
09001,Connecticut,Fairfield County
09003,Connecticut,Hartford County
09005,Connecticut,Litchfield County
09007,Connecticut,Middlesex County
09009,Connecticut,New Haven County
09011,Connecticut,New London County
09013,Connecticut,Tolland County
09015,Connecticut,Windham County
10001,Delaware,Kent County
10003,Delaware,New Castle County
10005,Delaware,Sussex County
12001,Florida,Alachua County
12003,Florida,Baker County
12005,Florida,Bay County
12007,Florida,Bradford County
12009,Florida,Brevard County
12011,Florida,Broward County
12013,Florida,Calhoun County
12015,Florida,Charlotte County
12017,Florida,Citrus County
12019,Florida,Clay County
12021,Florida,Collier County
12023,Florida,Columbia County
12027,Florida,DeSoto County
12029,Florida,Dixie County
12031,Florida,Duval County
12033,Florida,Escambia County
12035,Florida,Flagler County
12037,Florida,Franklin County
12039,Florida,Gadsden County
12041,Florida,Gilchrist County
12043,Florida,Glades County
12045,Florida,Gulf County
12047,Florida,Hamilton County
12049,Florida,Hardee County
12051,Florida,Hendry County
12053,Florida,Hernando County
12055,Florida,Highlands County
12057,Florida,Hillsborough County
12059,Florida,Holmes County
12061,Florida,Indian River County
12063,Florida,Jackson County
12065,Florida,Jefferson County
12067,Florida,Lafayette County
12069,Florida,Lake County
12071,Florida,Lee County
12073,Florida,Leon County
12075,Florida,Levy County
12077,Florida,Liberty County
12079,Florida,Madison County
12081,Florida,Manatee County
12083,Florida,Marion County
12085,Florida,Martin County
12086,Florida,Miami-Dade County
12087,Florida,Monroe County
12089,Florida,Nassau County
12091,Florida,Okaloosa County
12093,Florida,Okeechobee County
12095,Florida,Orange County
12097,Florida,Osceola County
12099,Florida,Palm Beach County
12101,Florida,Pasco County
12103,Florida,Pinellas County
12105,Florida,Polk County
12107,Florida,Putnam County
12109,Florida,St. Johns County
12111,Florida,St. Lucie County
12113,Florida,Santa Rosa County
12115,Florida,Sarasota County
12117,Florida,Seminole County
12119,Florida,Sumter County
12121,Florida,Suwannee County
12123,Florida,Taylor County
12125,Florida,Union County
12127,Florida,Volusia County
12129,Florida,Wakulla County
12131,Florida,Walton County
12133,Florida,Washington County
13001,Georgia,Appling County
13003,Georgia,Atkinson County
13005,Georgia,Bacon County
13007,Georgia,Baker County
13009,Georgia,Baldwin County
13011,Georgia,Banks County
13013,Georgia,Barrow County
13015,Georgia,Bartow County
13017,Georgia,Ben Hill County
13019,Georgia,Berrien County
13021,Georgia,Bibb County
13023,Georgia,Bleckley County
13025,Georgia,Brantley County
13027,Georgia,Brooks County
13029,Georgia,Bryan County
13031,Georgia,Bulloch County
13033,Georgia,Burke County
13035,Georgia,Butts County
13037,Georgia,Calhoun County
13039,Georgia,Camden County
13043,Georgia,Candler County
13045,Georgia,Carroll County
13047,Georgia,Catoosa County
13049,Georgia,Charlton County
13051,Georgia,Chatham County
13053,Georgia,Chattahoochee County
13055,Georgia,Chattooga County
13057,Georgia,Cherokee County
13059,Georgia,Clarke County
13061,Georgia,Clay County
13063,Georgia,Clayton County
13065,Georgia,Clinch County
13067,Georgia,Cobb County
13069,Georgia,Coffee County
13071,Georgia,Colquitt County
13073,Georgia,Columbia County
13075,Georgia,Cook County
13077,Georgia,Coweta County
13079,Georgia,Crawford County
13081,Georgia,Crisp County
13083,Georgia,Dade County
13085,Georgia,Dawson County
13087,Georgia,Decatur County
13089,Georgia,DeKalb County
13091,Georgia,Dodge County
13093,Georgia,Dooly County
13095,Georgia,Dougherty County
13097,Georgia,Douglas County
13099,Georgia,Early County
13101,Georgia,Echols County
13103,Georgia,Effingham County
13105,Georgia,Elbert County
13107,Georgia,Emanuel County
13109,Georgia,Evans County
13111,Georgia,Fannin County
13113,Georgia,Fayette County
13115,Georgia,Floyd County
13117,Georgia,Forsyth County
13119,Georgia,Franklin County
13121,Georgia,Fulton County
13123,Georgia,Gilmer County
13125,Georgia,Glascock County
13127,Georgia,Glynn County
13129,Georgia,Gordon County
13131,Georgia,Grady County
13133,Georgia,Greene County
13135,Georgia,Gwinnett County
13137,Georgia,Habersham County
13139,Georgia,Hall County
13141,Georgia,Hancock County
13143,Georgia,Haralson County
13145,Georgia,Harris County
13147,Georgia,Hart County
13149,Georgia,Heard County
13151,Georgia,Henry County
13153,Georgia,Houston County
13155,Georgia,Irwin County
13157,Georgia,Jackson County
13159,Georgia,Jasper County
13161,Georgia,Jeff Davis County
13163,Georgia,Jefferson County
13165,Georgia,Jenkins County
13167,Georgia,Johnson County
13169,Georgia,Jones County
13171,Georgia,Lamar County
13173,Georgia,Lanier County
13175,Georgia,Laurens County
13177,Georgia,Lee County
13179,Georgia,Liberty County
13181,Georgia,Lincoln County
13183,Georgia,Long County
13185,Georgia,Lowndes County
13187,Georgia,Lumpkin County
13189,Georgia,McDuffie County
13191,Georgia,McIntosh County
13193,Georgia,Macon County
13195,Georgia,Madison County
13197,Georgia,Marion County
13199,Georgia,Meriwether County
13201,Georgia,Miller County
13205,Georgia,Mitchell County
13207,Georgia,Monroe County
13209,Georgia,Montgomery County
13211,Georgia,Morgan County
13213,Georgia,Murray County
13215,Georgia,Muscogee County
13217,Georgia,Newton County
13219,Georgia,Oconee County
13221,Georgia,Oglethorpe County
13223,Georgia,Paulding County
13225,Georgia,Peach County
13227,Georgia,Pickens County
13229,Georgia,Pierce County
13231,Georgia,Pike County
13233,Georgia,Polk County
13235,Georgia,Pulaski County
13237,Georgia,Putnam County
13239,Georgia,Quitman County
13241,Georgia,Rabun County
13243,Georgia,Randolph County
13245,Georgia,Richmond County
13247,Georgia,Rockdale County
13249,Georgia,Schley County
13251,Georgia,Screven County
13253,Georgia,Seminole County
13255,Georgia,Spalding County
13257,Georgia,Stephens County
13259,Georgia,Stewart County
13261,Georgia,Sumter County
13263,Georgia,Talbot County
13265,Georgia,Taliaferro County
13267,Georgia,Tattnall County
13269,Georgia,Taylor County
13271,Georgia,Telfair County
13273,Georgia,Terrell County
13275,Georgia,Thomas County
13277,Georgia,Tift County
13279,Georgia,Toombs County
13281,Georgia,Towns County
13283,Georgia,Treutlen County
13285,Georgia,Troup County
13287,Georgia,Turner County
13289,Georgia,Twiggs County
13291,Georgia,Union County
13293,Georgia,Upson County
13295,Georgia,Walker County
13297,Georgia,Walton County
13299,Georgia,Ware County
13301,Georgia,Warren County
13303,Georgia,Washington County
13305,Georgia,Wayne County
13307,Georgia,Webster County
13309,Georgia,Wheeler County
13311,Georgia,White County
13313,Georgia,Whitfield County
13315,Georgia,Wilcox County
13317,Georgia,Wilkes County
13319,Georgia,Wilkinson County
13321,Georgia,Worth County
15001,Hawaii,Hawaii County
15003,Hawaii,Honolulu County
15005,Hawaii,Kalawao County
15007,Hawaii,Kauai County
15009,Hawaii,Maui County
16001,Idaho,Ada County
16003,Idaho,Adams County
16005,Idaho,Bannock County
16007,Idaho,Bear Lake County
16009,Idaho,Benewah County
16011,Idaho,Bingham County
16013,Idaho,Blaine County
16015,Idaho,Boise County
16017,Idaho,Bonner County
16019,Idaho,Bonneville County
16021,Idaho,Boundary County
16023,Idaho,Butte County
16025,Idaho,Camas County
16027,Idaho,Canyon County
16029,Idaho,Caribou County
16031,Idaho,Cassia County
16033,Idaho,Clark County
16035,Idaho,Clearwater County
16037,Idaho,Custer County
16039,Idaho,Elmore County
16041,Idaho,Franklin County
16043,Idaho,Fremont County
16045,Idaho,Gem County
16047,Idaho,Gooding County
16049,Idaho,Idaho County
16051,Idaho,Jefferson County
16053,Idaho,Jerome County
16055,Idaho,Kootenai County
16057,Idaho,Latah County
16059,Idaho,Lemhi County
16061,Idaho,Lewis County
16063,Idaho,Lincoln County
16065,Idaho,Madison County
16067,Idaho,Minidoka County
16069,Idaho,Nez Perce County
16071,Idaho,Oneida County
16073,Idaho,Owyhee County
16075,Idaho,Payette County
16077,Idaho,Power County
16079,Idaho,Shoshone County
16081,Idaho,Teton County
16083,Idaho,Twin Falls County
16085,Idaho,Valley County
16087,Idaho,Washington County
17001,Illinois,Adams County
17003,Illinois,Alexander County
17005,Illinois,Bond County
17007,Illinois,Boone County
17009,Illinois,Brown County
17011,Illinois,Bureau County
17013,Illinois,Calhoun County
17015,Illinois,Carroll County
17017,Illinois,Cass County
17019,Illinois,Champaign County
17021,Illinois,Christian County
17023,Illinois,Clark County
17025,Illinois,Clay County
17027,Illinois,Clinton County
17029,Illinois,Coles County
17031,Illinois,Cook County
17033,Illinois,Crawford County
17035,Illinois,Cumberland County
17037,Illinois,DeKalb County
17039,Illinois,De Witt County
17041,Illinois,Douglas County
17043,Illinois,DuPage County
17045,Illinois,Edgar County
17047,Illinois,Edwards County
17049,Illinois,Effingham County
17051,Illinois,Fayette County
17053,Illinois,Ford County
17055,Illinois,Franklin County
17057,Illinois,Fulton County
17059,Illinois,Gallatin County
17061,Illinois,Greene County
17063,Illinois,Grundy County
17065,Illinois,Hamilton County
17067,Illinois,Hancock County
17069,Illinois,Hardin County
17071,Illinois,Henderson County
17073,Illinois,Henry County
17075,Illinois,Iroquois County
17077,Illinois,Jackson County
17079,Illinois,Jasper County
17081,Illinois,Jefferson County
17083,Illinois,Jersey County
17085,Illinois,Jo Daviess County
17087,Illinois,Johnson County
17089,Illinois,Kane County
17091,Illinois,Kankakee County
17093,Illinois,Kendall County
17095,Illinois,Knox County
17097,Illinois,Lake County
17099,Illinois,LaSalle County
17101,Illinois,Lawrence County
17103,Illinois,Lee County
17105,Illinois,Livingston County
17107,Illinois,Logan County
17109,Illinois,McDonough County
17111,Illinois,McHenry County
17113,Illinois,McLean County
17115,Illinois,Macon County
17117,Illinois,Macoupin County
17119,Illinois,Madison County
17121,Illinois,Marion County
17123,Illinois,Marshall County
17125,Illinois,Mason County
17127,Illinois,Massac County
17129,Illinois,Menard County
17131,Illinois,Mercer County
17133,Illinois,Monroe County
17135,Illinois,Montgomery County
17137,Illinois,Morgan County
17139,Illinois,Moultrie County
17141,Illinois,Ogle County
17143,Illinois,Peoria County
17145,Illinois,Perry County
17147,Illinois,Piatt County
17149,Illinois,Pike County
17151,Illinois,Pope County
17153,Illinois,Pulaski County
17155,Illinois,Putnam County
17157,Illinois,Randolph County
17159,Illinois,Richland County
17161,Illinois,Rock Island County
17163,Illinois,St. Clair County
17165,Illinois,Saline County
17167,Illinois,Sangamon County
17169,Illinois,Schuyler County
17171,Illinois,Scott County
17173,Illinois,Shelby County
17175,Illinois,Stark County
17177,Illinois,Stephenson County
17179,Illinois,Tazewell County
17181,Illinois,Union County
17183,Illinois,Vermilion County
17185,Illinois,Wabash County
17187,Illinois,Warren County
17189,Illinois,Washington County
17191,Illinois,Wayne County
17193,Illinois,White County
17195,Illinois,Whiteside County
17197,Illinois,Will County
17199,Illinois,Williamson County
17201,Illinois,Winnebago County
17203,Illinois,Woodford County
18001,Indiana,Adams County
18003,Indiana,Allen County
18005,Indiana,Bartholomew County
18007,Indiana,Benton County
18009,Indiana,Blackford County
18011,Indiana,Boone County
18013,Indiana,Brown County
18015,Indiana,Carroll County
18017,Indiana,Cass County
18019,Indiana,Clark County
18021,Indiana,Clay County
18023,Indiana,Clinton County
18025,Indiana,Crawford County
18027,Indiana,Daviess County
18029,Indiana,Dearborn County
18031,Indiana,Decatur County
18033,Indiana,DeKalb County
18035,Indiana,Delaware County
18037,Indiana,Dubois County
18039,Indiana,Elkhart County
18041,Indiana,Fayette County
18043,Indiana,Floyd County
18045,Indiana,Fountain County
18047,Indiana,Franklin County
18049,Indiana,Fulton County
18051,Indiana,Gibson County
18053,Indiana,Grant County
18055,Indiana,Greene County
18057,Indiana,Hamilton County
18059,Indiana,Hancock County
18061,Indiana,Harrison County
18063,Indiana,Hendricks County
18065,Indiana,Henry County
18067,Indiana,Howard County
18069,Indiana,Huntington County
18071,Indiana,Jackson County
18073,Indiana,Jasper County
18075,Indiana,Jay County
18077,Indiana,Jefferson County
18079,Indiana,Jennings County
18081,Indiana,Johnson County
18083,Indiana,Knox County
18085,Indiana,Kosciusko County
18087,Indiana,LaGrange County
18089,Indiana,Lake County
18091,Indiana,LaPorte County
18093,Indiana,Lawrence County
18095,Indiana,Madison County
18097,Indiana,Marion County
18099,Indiana,Marshall County
18101,Indiana,Martin County
18103,Indiana,Miami County
18105,Indiana,Monroe County
18107,Indiana,Montgomery County
18109,Indiana,Morgan County
18111,Indiana,Newton County
18113,Indiana,Noble County
18115,Indiana,Ohio County
18117,Indiana,Orange County
18119,Indiana,Owen County
18121,Indiana,Parke County
18123,Indiana,Perry County
18125,Indiana,Pike County
18127,Indiana,Porter County
18129,Indiana,Posey County
18131,Indiana,Pulaski County
18133,Indiana,Putnam County
18135,Indiana,Randolph County
18137,Indiana,Ripley County
18139,Indiana,Rush County
18141,Indiana,St. Joseph County
18143,Indiana,Scott County
18145,Indiana,Shelby County
18147,Indiana,Spencer County
18149,Indiana,Starke County
18151,Indiana,Steuben County
18153,Indiana,Sullivan County
18155,Indiana,Switzerland County
18157,Indiana,Tippecanoe County
18159,Indiana,Tipton County
18161,Indiana,Union County
18163,Indiana,Vanderburgh County
18165,Indiana,Vermillion County
18167,Indiana,Vigo County
18169,Indiana,Wabash County
18171,Indiana,Warren County
18173,Indiana,Warrick County
18175,Indiana,Washington County
18177,Indiana,Wayne County
18179,Indiana,Wells County
18181,Indiana,White County
18183,Indiana,Whitley County
19001,Iowa,Adair County
19003,Iowa,Adams County
19005,Iowa,Allamakee County
19007,Iowa,Appanoose County
19009,Iowa,Audubon County
19011,Iowa,Benton County
19013,Iowa,Black Hawk County
19015,Iowa,Boone County
19017,Iowa,Bremer County
19019,Iowa,Buchanan County
19021,Iowa,Buena Vista County
19023,Iowa,Butler County
19025,Iowa,Calhoun County
19027,Iowa,Carroll County
19029,Iowa,Cass County
19031,Iowa,Cedar County
19033,Iowa,Cerro Gordo County
19035,Iowa,Cherokee County
19037,Iowa,Chickasaw County
19039,Iowa,Clarke County
19041,Iowa,Clay County
19043,Iowa,Clayton County
19045,Iowa,Clinton County
19047,Iowa,Crawford County
19049,Iowa,Dallas County
19051,Iowa,Davis County
19053,Iowa,Decatur County
19055,Iowa,Delaware County
19057,Iowa,Des Moines County
19059,Iowa,Dickinson County
19061,Iowa,Dubuque County
19063,Iowa,Emmet County
19065,Iowa,Fayette County
19067,Iowa,Floyd County
19069,Iowa,Franklin County
19071,Iowa,Fremont County
19073,Iowa,Greene County
19075,Iowa,Grundy County
19077,Iowa,Guthrie County
19079,Iowa,Hamilton County
19081,Iowa,Hancock County
19083,Iowa,Hardin County
19085,Iowa,Harrison County
19087,Iowa,Henry County
19089,Iowa,Howard County
19091,Iowa,Humboldt County
19093,Iowa,Ida County
19095,Iowa,Iowa County
19097,Iowa,Jackson County
19099,Iowa,Jasper County
19101,Iowa,Jefferson County
19103,Iowa,Johnson County
19105,Iowa,Jones County
19107,Iowa,Keokuk County
19109,Iowa,Kossuth County
19111,Iowa,Lee County
19113,Iowa,Linn County
19115,Iowa,Louisa County
19117,Iowa,Lucas County
19119,Iowa,Lyon County
19121,Iowa,Madison County
19123,Iowa,Mahaska County
19125,Iowa,Marion County
19127,Iowa,Marshall County
19129,Iowa,Mills County
19131,Iowa,Mitchell County
19133,Iowa,Monona County
19135,Iowa,Monroe County
19137,Iowa,Montgomery County
19139,Iowa,Muscatine County
19141,Iowa,O'Brien County
19143,Iowa,Osceola County
19145,Iowa,Page County
19147,Iowa,Palo Alto County
19149,Iowa,Plymouth County
19151,Iowa,Pocahontas County
19153,Iowa,Polk County
19155,Iowa,Pottawattamie County
19157,Iowa,Poweshiek County
19159,Iowa,Ringgold County
19161,Iowa,Sac County
19163,Iowa,Scott County
19165,Iowa,Shelby County
19167,Iowa,Sioux County
19169,Iowa,Story County
19171,Iowa,Tama County
19173,Iowa,Taylor County
19175,Iowa,Union County
19177,Iowa,Van Buren County
19179,Iowa,Wapello County
19181,Iowa,Warren County
19183,Iowa,Washington County
19185,Iowa,Wayne County
19187,Iowa,Webster County
19189,Iowa,Winnebago County
19191,Iowa,Winneshiek County
19193,Iowa,Woodbury County
19195,Iowa,Worth County
19197,Iowa,Wright County
20001,Kansas,Allen County
20003,Kansas,Anderson County
20005,Kansas,Atchison County
20007,Kansas,Barber County
20009,Kansas,Barton County
20011,Kansas,Bourbon County
20013,Kansas,Brown County
20015,Kansas,Butler County
20017,Kansas,Chase County
20019,Kansas,Chautauqua County
20021,Kansas,Cherokee County
20023,Kansas,Cheyenne County
20025,Kansas,Clark County
20027,Kansas,Clay County
20029,Kansas,Cloud County
20031,Kansas,Coffey County
20033,Kansas,Comanche County
20035,Kansas,Cowley County
20037,Kansas,Crawford County
20039,Kansas,Decatur County
20041,Kansas,Dickinson County
20043,Kansas,Doniphan County
20045,Kansas,Douglas County
20047,Kansas,Edwards County
20049,Kansas,Elk County
20051,Kansas,Ellis County
20053,Kansas,Ellsworth County
20055,Kansas,Finney County
20057,Kansas,Ford County
20059,Kansas,Franklin County
20061,Kansas,Geary County
20063,Kansas,Gove County
20065,Kansas,Graham County
20067,Kansas,Grant County
20069,Kansas,Gray County
20071,Kansas,Greeley County
20073,Kansas,Greenwood County
20075,Kansas,Hamilton County
20077,Kansas,Harper County
20079,Kansas,Harvey County
20081,Kansas,Haskell County
20083,Kansas,Hodgeman County
20085,Kansas,Jackson County
20087,Kansas,Jefferson County
20089,Kansas,Jewell County
20091,Kansas,Johnson County
20093,Kansas,Kearny County
20095,Kansas,Kingman County
20097,Kansas,Kiowa County
20099,Kansas,Labette County
20101,Kansas,Lane County
20103,Kansas,Leavenworth County
20105,Kansas,Lincoln County
20107,Kansas,Linn County
20109,Kansas,Logan County
20111,Kansas,Lyon County
20113,Kansas,McPherson County
20115,Kansas,Marion County
20117,Kansas,Marshall County
20119,Kansas,Meade County
20121,Kansas,Miami County
20123,Kansas,Mitchell County
20125,Kansas,Montgomery County
20127,Kansas,Morris County
20129,Kansas,Morton County
20131,Kansas,Nemaha County
20133,Kansas,Neosho County
20135,Kansas,Ness County
20137,Kansas,Norton County
20139,Kansas,Osage County
20141,Kansas,Osborne County
20143,Kansas,Ottawa County
20145,Kansas,Pawnee County
20147,Kansas,Phillips County
20149,Kansas,Pottawatomie County
20151,Kansas,Pratt County
20153,Kansas,Rawlins County
20155,Kansas,Reno County
20157,Kansas,Republic County
20159,Kansas,Rice County
20161,Kansas,Riley County
20163,Kansas,Rooks County
20165,Kansas,Rush County
20167,Kansas,Russell County
20169,Kansas,Saline County
20171,Kansas,Scott County
20173,Kansas,Sedgwick County
20175,Kansas,Seward County
20177,Kansas,Shawnee County
20179,Kansas,Sheridan County
20181,Kansas,Sherman County
20183,Kansas,Smith County
20185,Kansas,Stafford County
20187,Kansas,Stanton County
20189,Kansas,Stevens County
20191,Kansas,Sumner County
20193,Kansas,Thomas County
20195,Kansas,Trego County
20197,Kansas,Wabaunsee County
20199,Kansas,Wallace County
20201,Kansas,Washington County
20203,Kansas,Wichita County
20205,Kansas,Wilson County
20207,Kansas,Woodson County
20209,Kansas,Wyandotte County
21001,Kentucky,Adair County
21003,Kentucky,Allen County
