State,"Active Physicians per 100,000 Population, 2018 (AAMC)","Total Active Patient Care Physicians per 100,000 Population, 2018 (AAMC)","Active Primary Care Physicians per 100,000 Population, 2018 (AAMC)","Active Patient Care Primary Care Physicians per 100,000 Population, 2018 (AAMC)","Active General Surgeons per 100,000 Population, 2018 (AAMC)","Active Patient Care General Surgeons per 100,000 Population, 2018 (AAMC)","Percentage of Active Physicians Who Are Female, 2018 (AAMC)","Percentage of Active Physicians Who Are International Medical Graduates (IMGs), 2018 (AAMC)","Percentage of Active Physicians Who Are Age 60 or Older, 2018 (AAMC)","MD and DO Student Enrollment per 100,000 Population, AY 2018-2019 (AAMC)","Student Enrollment at Public MD and DO Schools per 100,000 Population, AY 2018-2019 (AAMC)","Percentage Change in Student Enrollment at MD and DO Schools, 2008-2018 (AAMC)","Percentage of MD Students Matriculating In-State, AY 2018-2019 (AAMC)","Total Residents/Fellows in ACGME Programs per 100,000 Population as of December 31, 2018 (AAMC)","Total Residents/Fellows in Primary Care ACGME Programs per 100,000 Population as of Dec. 31, 2018 (AAMC)","Percentage of Residents in ACGME Programs Who Are IMGs as of December 31, 2018 (AAMC)","Ratio of Residents and Fellows (GME) to Medical Students (UME), AY 2017-2018 (AAMC)","Percent Change in Residents and Fellows in ACGME-Accredited Programs, 2008-2018 (AAMC)","Percentage of Physicians Retained in State from Undergraduate Medical Education (UME), 2018 (AAMC)",All Specialties (AAMC),Allergy & Immunology (AAMC),Anatomic/Clinical Pathology (AAMC),Anesthesiology (AAMC),Cardiovascular Disease (AAMC),Child & Adolescent Psychiatry** (AAMC),Critical Care Medicine (AAMC),Dermatology (AAMC),Emergency Medicine (AAMC),"Endocrinology, Diabetes & Metabolism (AAMC)",Family Medicine/General Practice (AAMC),Gastroenterology (AAMC),General Surgery (AAMC),Geriatric Medicine*** (AAMC),Hematology & Oncology (AAMC),Infectious Disease (AAMC),Internal Medicine (AAMC),Internal Medicine/Pediatrics (AAMC),Interventional Cardiology (AAMC),Neonatal-Perinatal Medicine (AAMC),Nephrology (AAMC),Neurological Surgery (AAMC),Neurology (AAMC),Neuroradiology (AAMC),Obstetrics & Gynecology (AAMC),Ophthalmology (AAMC),Orthopedic Surgery (AAMC),Otolaryngology (AAMC),Pain Medicine & Pain Management (AAMC),Pediatrics** (AAMC),Physical Medicine & Rehabilitation (AAMC),Plastic Surgery (AAMC),Preventive Medicine (AAMC),Psychiatry (AAMC),Pulmonary Disease (AAMC),Radiation Oncology (AAMC),Radiology & Diagnostic Radiology (AAMC),Rheumatology (AAMC),Sports Medicine (AAMC),Thoracic Surgery (AAMC),Urology (AAMC),Vascular & Interventional Radiology (AAMC),Vascular Surgery (AAMC),State/Local Government hospital beds per 1000 people (2019),Non-profit hospital beds per 1000 people (2019),For-profit hospital beds per 1000 people (2019),Total hospital beds per 1000 people (2019),Total nurses (2019),Total physical assistants (2019),Total Hospitals (2019),Internal Medicine specialists (2019),Family Medicine/General Practice specialists (2019),Pediatrics specialists (2019),Obstetrics & Gynecology specialists (2019),Geriatrics specialists (2019),Total Primary Care specialists (2019),Psychiatry specialists (2019),Surgery specialists (2019),Anesthesiology specialists (2019),Emergency Medicine specialists (2019),Radiology specialists (2019),Cardiology specialists (2019),Oncology (Cancer) specialists (2019),"Endocrinology, Diabetes, and Metabolism specialists (2019)",All Other Specialties specialists (2019),Total specialists (2019)
GA,228.7,202.9,79.1,71.9,7.0,6.1,35.6%,22.5%,30.8%,28.6,9.2,39.2%,68.9%,25.5,10.5,25.7%,0.9,30.7%,43.9%,"24,054",113.0,302,978,612,197,318,271,"1,139",164.0,"2,942",403,734,124.0,354,296,"3,328",97.0,97.0,149.0,351,150.0,352,89.0,"1,365",472,553,305,172.0,"1,820",210,206,363.0,896,117.0,137.0,748,139.0,56.0,100.0,274,97.0,137.0,0.4,1.3,0.9,2.6,12360.0,6093.0,217.0,11595.0,8280.0,4683.0,2733.0,105.0,27396.0,2303.0,2818.0,2806.0,2928.0,2684.0,2107.0,1099.0,422.0,11936.0,29103.0
HI,314.1,273.7,118.5,104.7,9.4,8.4,35.3%,13.9%,37.3%,20.4,20.4,15.1%,65.9%,30.1,14.8,20.1%,1.5,3.4%,51.8%,"4,462",16.0,57,178,70,71,42,61,275,21.0,536,63,133,80.0,45,27,688,35.0,,29.0,35,19.0,46,19.0,236,116,95,41,18.0,340,48,27,72.0,229,20.0,18.0,125,25.0,14.0,17.0,47,12.0,13.0,0.3,1.8,0.3,2.4,4815.0,3327.0,145.0,4978.0,3411.0,2446.0,1662.0,27.0,12524.0,1219.0,1465.0,1199.0,1385.0,1201.0,828.0,467.0,166.0,4858.0,12788.0
ID,192.6,181.6,73.9,68.9,5.8,5.5,26.3%,5.5%,29.4%,9.2,,,,8.0,8.0,11.3%,0.7,182.0%,,"3,379",15.0,26,111,67,23,30,43,231,13.0,798,45,101,,31,13,316,10.0,11.0,19.0,30,29.0,35,18.0,163,64,128,42,19.0,164,44,23,20.0,81,22.0,16.0,128,17.0,22.0,10.0,43,12.0,11.0,0.3,1.7,,1.9,412.0,157.0,22.0,755.0,490.0,320.0,289.0,2.0,1856.0,283.0,166.0,178.0,211.0,160.0,73.0,43.0,19.0,671.0,1804.0
IL,284.4,240.5,99.6,87.2,7.0,5.8,38.7%,30.7%,30.4%,44.7,13.4,2.5%,62.6%,49.1,19.8,25.9%,1.2,7.1%,30.9%,"36,240",218.0,585,"1,569",898,298,476,440,"1,787",325.0,"4,545",589,888,227.0,639,386,"5,261",282.0,163.0,286.0,448,206.0,532,184.0,"1,754",751,634,349,238.0,"2,352",402,233,197.0,"1,382",189.0,197.0,"1,019",237.0,117.0,150.0,366,193.0,123.0,0.4,1.1,0.4,1.9,688.0,618.0,45.0,389.0,922.0,154.0,148.0,4.0,1617.0,109.0,149.0,112.0,171.0,207.0,48.0,31.0,14.0,554.0,1395.0
IN,230.8,212.0,80.3,74.4,6.5,6.1,31.8%,21.7%,31.1%,32.1,22.3,78.0%,76.3%,22.3,9.7,15.0%,0.7,12.2%,51.1%,"15,448",65.0,215,"1,063",398,93,199,155,763,134.0,"2,686",245,432,73.0,262,130,"1,605",161.0,81.0,120.0,215,89.0,232,66.0,736,270,376,170,110.0,838,150,94,78.0,438,91.0,103.0,465,97.0,69.0,89.0,184,77.0,55.0,0.1,2.2,0.2,2.5,4963.0,2492.0,187.0,9651.0,6054.0,3830.0,2424.0,34.0,21993.0,2027.0,2053.0,2088.0,2646.0,1978.0,1425.0,842.0,385.0,7940.0,21384.0
IA,218.2,193.1,84.8,77.9,6.9,6.5,32.9%,19.5%,29.6%,49.4,21.3,5.1%,70.2%,32.2,12.7,19.1%,0.6,21.8%,21.9%,"6,886",28.0,98,320,160,49,101,77,251,39.0,"1,647",86,217,33.0,107,52,622,18.0,34.0,45.0,63,37.0,96,28.0,280,161,170,88,35.0,355,45,31,51.0,219,35.0,43.0,198,41.0,13.0,33.0,67,19.0,28.0,0.4,1.9,0.4,2.7,3453.0,845.0,132.0,2631.0,3323.0,1301.0,831.0,24.0,8110.0,659.0,828.0,1187.0,915.0,874.0,550.0,336.0,136.0,3221.0,8706.0
KS,227.6,206.5,88.0,80.5,6.8,6.3,33.3%,17.1%,30.8%,30.0,30.0,21.7%,76.7%,28.6,10.0,19.3%,1.0,14.0%,37.7%,"6,627",36.0,90,310,155,60,81,70,256,47.0,"1,434",81,197,29.0,100,43,659,66.0,33.0,31.0,70,40.0,93,17.0,294,131,168,81,37.0,371,66,63,27.0,241,29.0,39.0,204,41.0,24.0,36.0,82,29.0,17.0,0.9,2.0,0.1,3.0,1922.0,853.0,118.0,1278.0,2161.0,639.0,331.0,15.0,4424.0,340.0,528.0,465.0,349.0,400.0,271.0,144.0,42.0,1548.0,4087.0
KY,230.9,214.6,77.3,72.9,8.3,7.6,31.4%,20.8%,31.6%,40.3,28.3,32.1%,88.3%,31.4,10.8,18.4%,0.7,25.4%,44.9%,"10,319",68.0,143,483,251,97,149,121,520,58.0,"1,468",158,369,34.0,170,78,"1,102",160.0,63.0,82.0,138,72.0,144,30.0,496,196,252,112,84.0,687,78,84,62.0,347,63.0,65.0,341,60.0,26.0,72.0,132,25.0,58.0,1.1,1.4,0.8,3.3,1642.0,832.0,139.0,1205.0,1789.0,695.0,418.0,6.0,4113.0,455.0,465.0,407.0,294.0,338.0,222.0,129.0,43.0,1460.0,3813.0
LA,260.3,231.8,84.1,75.8,9.1,7.8,31.4%,19.8%,32.0%,45.6,28.7,12.8%,87.3%,47.1,17.0,28.2%,1.0,28.2%,40.0%,"12,132",69.0,165,501,316,95,154,195,637,95.0,"1,503",208,424,35.0,180,122,"1,359",156.0,93.0,74.0,181,101.0,167,29.0,661,317,307,223,72.0,860,122,88,59.0,423,84.0,61.0,386,87.0,19.0,63.0,186,40.0,57.0,0.4,2.4,0.5,3.2,2934.0,986.0,105.0,1975.0,1900.0,930.0,662.0,14.0,5481.0,593.0,787.0,623.0,696.0,560.0,362.0,200.0,69.0,2566.0,6456.0
ME,330.2,305.7,128.9,119.7,12.1,11.7,37.3%,13.8%,36.0%,53.0,,40.6%,,24.7,12.2,12.1%,0.5,9.3%,18.2%,"4,420",16.0,34,178,105,60,58,36,290,21.0,901,56,162,39.0,63,34,525,21.0,,18.0,40,21.0,52,,166,75,104,34,14.0,239,44,19,46.0,212,22.0,17.0,91,23.0,29.0,19.0,48,17.0,20.0,0.8,1.7,0.8,3.3,2364.0,767.0,158.0,2507.0,1792.0,1178.0,842.0,9.0,6328.0,641.0,811.0,603.0,784.0,604.0,459.0,244.0,97.0,3250.0,7493.0
MD,386.0,306.1,116.2,97.6,9.6,7.5,41.0%,26.8%,34.1%,32.6,22.8,2.9%,27.1%,48.3,14.9,23.2%,1.5,2.6%,21.9%,"23,323",207.0,379,"1,009",555,326,368,308,915,285.0,"1,614",376,578,169.0,521,481,"3,533",114.0,56.0,134.0,275,126.0,446,92.0,"1,072",569,416,241,138.0,"1,569",248,181,409.0,"1,128",123.0,129.0,623,221.0,50.0,97.0,239,71.0,109.0,0.1,2.4,0.1,2.5,1100.0,556.0,34.0,805.0,1118.0,334.0,203.0,17.0,2477.0,313.0,276.0,214.0,317.0,193.0,127.0,70.0,19.0,715.0,2244.0
MA,449.5,353.7,134.3,114.6,9.6,7.3,42.4%,24.0%,30.8%,46.0,9.8,12.6%,35.1%,83.0,23.4,20.7%,1.8,8.5%,29.5%,"31,025",195.0,563,"1,210",867,456,532,451,"1,247",431.0,"1,731",531,660,235.0,783,525,"4,997",210.0,127.0,178.0,408,143.0,670,161.0,"1,042",596,475,260,158.0,"2,044",207,174,204.0,"1,850",184.0,181.0,906,280.0,71.0,143.0,279,137.0,133.0,,1.9,0.0,1.9,3343.0,2301.0,50.0,5688.0,1715.0,2204.0,1308.0,29.0,10944.0,1693.0,1268.0,1204.0,985.0,1113.0,829.0,671.0,255.0,5714.0,13732.0
MI,287.0,249.7,97.8,87.6,7.9,6.7,35.0%,29.2%,31.6%,52.9,49.9,56.1%,71.5%,69.0,23.6,26.8%,1.4,49.5%,43.4%,"28,692",152.0,359,"1,012",624,238,396,331,"1,621",208.0,"4,093",379,788,172.0,445,267,"3,632",308.0,174.0,119.0,317,172.0,404,137.0,"1,291",613,516,241,169.0,"1,560",373,178,176.0,928,120.0,168.0,837,167.0,89.0,131.0,281,105.0,136.0,0.0,1.8,0.4,2.3,6264.0,2166.0,75.0,9193.0,1971.0,3163.0,1430.0,27.0,15784.0,2878.0,1903.0,1783.0,1735.0,2010.0,1637.0,1176.0,497.0,7103.0,20722.0
MN,302.7,265.0,104.9,96.0,7.4,6.6,37.2%,17.2%,27.9%,24.2,18.1,29.7%,54.3%,41.9,13.4,17.5%,1.7,7.0%,52.0%,"16,984",74.0,232,579,416,142,270,209,770,138.0,"2,991",272,416,100.0,324,150,"1,719",187.0,75.0,63.0,182,88.0,291,128.0,691,286,375,151,75.0,883,195,96,133.0,581,67.0,94.0,743,107.0,90.0,76.0,166,80.0,70.0,0.1,2.2,0.3,2.5,4420.0,3783.0,144.0,7415.0,6023.0,2640.0,2384.0,54.0,18516.0,1567.0,2099.0,1585.0,3339.0,1929.0,1095.0,685.0,239.0,7765.0,20303.0
MS,191.3,174.8,65.9,61.2,7.1,6.7,27.2%,15.4%,33.7%,35.0,21.1,135.1%,85.1%,26.1,10.9,19.0%,0.7,58.2%,53.2%,"5,714",30.0,95,240,138,45,62,67,305,45.0,884,110,213,26.0,80,38,652,55.0,41.0,37.0,91,49.0,87,19.0,320,129,154,78,51.0,345,32,53,26.0,171,35.0,41.0,186,37.0,10.0,42.0,84,28.0,29.0,0.3,2.2,,2.5,2880.0,1812.0,127.0,3215.0,3506.0,1265.0,778.0,24.0,8788.0,854.0,993.0,689.0,939.0,999.0,682.0,425.0,167.0,3635.0,9383.0
MO,273.1,236.3,86.6,79.0,7.0,6.3,34.2%,20.9%,30.2%,71.3,15.0,14.8%,67.4%,49.4,15.7,19.5%,0.7,17.8%,21.3%,"16,732",99.0,229,733,439,154,362,200,725,158.0,"2,112",277,428,112.0,282,168,"1,876",128.0,92.0,140.0,224,133.0,260,60.0,727,326,381,182,69.0,"1,067",152,110,86.0,604,82.0,104.0,528,110.0,54.0,91.0,178,72.0,70.0,1.6,1.6,0.8,4.0,2086.0,107.0,99.0,1179.0,1097.0,525.0,412.0,3.0,3216.0,267.0,400.0,282.0,376.0,314.0,188.0,120.0,48.0,1386.0,3381.0
MT,247.1,236.2,91.5,88.0,9.8,9.4,31.5%,5.8%,35.0%,,,,,7.7,7.6,24.4%,,331.6%,,"2,625",13.0,30,153,45,22,30,29,169,13.0,571,32,104,,37,14,263,22.0,11.0,14.0,17,26.0,35,,117,55,86,33,,106,26,20,14.0,81,13.0,20.0,76,18.0,,20.0,32,15.0,10.0,0.4,2.2,0.4,3.1,3417.0,665.0,122.0,3811.0,2736.0,1739.0,1083.0,41.0,9410.0,1030.0,1115.0,1114.0,1092.0,1099.0,674.0,422.0,181.0,4138.0,10865.0
NE,239.2,214.5,88.2,80.3,6.8,6.2,32.9%,14.8%,28.8%,61.7,28.1,18.9%,87.0%,42.2,17.2,29.4%,0.7,23.1%,27.1%,"4,614",28.0,91,242,107,40,62,37,160,38.0,925,67,131,25.0,67,46,443,29.0,24.0,22.0,40,33.0,65,13.0,209,97,125,64,24.0,279,35,32,13.0,138,20.0,32.0,155,31.0,,19.0,51,22.0,29.0,0.1,3.0,0.2,3.3,504.0,391.0,56.0,344.0,587.0,125.0,116.0,2.0,1174.0,104.0,129.0,146.0,124.0,110.0,56.0,31.0,7.0,445.0,1152.0
NV,213.5,185.8,72.3,65.0,5.6,5.0,29.1%,27.3%,29.6%,32.6,13.2,35.3%,73.2%,21.4,12.4,26.2%,0.6,155.9%,41.6%,"6,478",22.0,66,403,137,40,54,65,384,51.0,824,84,169,57.0,78,34,957,22.0,34.0,36.0,89,32.0,87,21.0,305,119,148,48,75.0,332,80,49,38.0,196,37.0,35.0,195,27.0,21.0,24.0,59,28.0,12.0,0.5,2.9,0.1,3.6,1045.0,822.0,93.0,894.0,1260.0,441.0,284.0,3.0,2882.0,270.0,326.0,325.0,214.0,264.0,163.0,102.0,35.0,1046.0,2745.0
NH,315.1,287.6,105.9,99.6,9.7,8.6,36.5%,17.8%,31.9%,31.2,,24.0%,17.8%,30.9,6.9,16.7%,1.0,9.7%,10.5%,"4,274",19.0,56,195,106,51,76,52,234,26.0,582,75,132,27.0,80,36,530,28.0,14.0,16.0,30,23.0,65,15.0,181,72,123,41,26.0,266,34,25,52.0,184,21.0,24.0,141,40.0,,23.0,64,15.0,33.0,0.2,0.7,1.3,2.1,841.0,529.0,44.0,1411.0,901.0,424.0,323.0,6.0,3065.0,283.0,289.0,388.0,386.0,262.0,185.0,86.0,36.0,1171.0,3086.0
NJ,306.5,271.0,97.7,87.5,7.6,6.7,36.8%,38.2%,36.6%,30.5,29.8,43.2%,45.1%,37.7,17.4,47.9%,1.4,21.3%,33.5%,"27,305",183.0,360,"1,422",943,293,298,363,"1,010",294.0,"2,099",576,674,201.0,498,348,"4,116",79.0,128.0,201.0,365,124.0,405,84.0,"1,363",578,556,256,217.0,"2,197",463,245,118.0,"1,133",226.0,146.0,757,183.0,87.0,124.0,346,91.0,136.0,,1.7,0.3,2.1,1014.0,521.0,28.0,869.0,581.0,328.0,218.0,6.0,2002.0,280.0,245.0,224.0,234.0,182.0,149.0,91.0,31.0,802.0,2238.0
NM,244.8,213.8,91.1,82.1,7.7,7.3,38.4%,19.3%,38.5%,44.2,21.5,187.0%,71.0%,29.1,11.1,21.5%,0.7,14.4%,38.0%,"5,129",15.0,81,194,94,66,65,51,319,38.0,938,75,162,42.0,70,50,562,14.0,13.0,35.0,60,24.0,69,17.0,221,80,117,52,26.0,353,47,24,54.0,243,24.0,23.0,138,39.0,11.0,21.0,47,18.0,14.0,,2.1,0.3,2.4,5517.0,1862.0,82.0,7070.0,2708.0,3164.0,1831.0,61.0,14834.0,1661.0,1471.0,1605.0,1533.0,1252.0,1232.0,588.0,325.0,6001.0,15668.0
NY,375.1,304.1,112.9,94.8,10.2,7.4,38.9%,37.0%,34.8%,58.2,15.6,33.4%,67.0%,88.8,33.1,37.6%,1.6,9.0%,35.9%,"73,298",397.0,962,"3,363","2,218","1,123","1,060","1,047","2,777",760.0,"4,707","1,431","1,985",653.0,"1,526",973,"11,103",278.0,299.0,456.0,973,366.0,"1,297",344.0,"3,292","1,671","1,148",723,437.0,"5,235","1,000",594,384.0,"4,677",513.0,364.0,"2,184",512.0,118.0,330.0,801,244.0,335.0,0.3,0.7,0.7,1.8,1022.0,532.0,41.0,979.0,1135.0,531.0,285.0,6.0,2936.0,383.0,259.0,263.0,390.0,228.0,143.0,88.0,46.0,1094.0,2894.0
