name;geog_id;transit_scores - population weighted averages aggregated from town/city level to county;
"Barton County, Kansas";20009;0;
"Barton County, Missouri";29011;0;
"Bartow County, Georgia";13015;0;
"Bastrop County, Texas";48021;"0,25489514";
"Bates County, Missouri";29013;0;
"Bath County, Kentucky";21011;0;
"Bath County, Virginia";51017;0;
"Baxter County, Arkansas";5005;0;
"Bay County, Florida";12005;"2,048433996";
"Bay County, Michigan";26017;"4,296963245";
"Bayfield County, Wisconsin";55007;"1,317289545";
"Baylor County, Texas";48023;0;
"Beadle County, South Dakota";46005;0;
"Bear Lake County, Idaho";16007;0;
"Beaufort County, North Carolina";37013;0;
"Beaufort County, South Carolina";45013;0;
"Beauregard Parish County, Louisiana";22011;0;
"Beaver County, Oklahoma";40007;0;
"Beaver County, Pennsylvania";42007;"2,717104333";
"Beaver County, Utah";49001;0;
"Beaverhead County, Montana";30001;0;
"Becker County, Minnesota";27005;"1,037365727";
"Beckham County, Oklahoma";40009;0;
"Bedford County, Pennsylvania";42009;0;
"Bedford County, Tennessee";47003;0;
"Bedford County, Virginia";51019;"0,605524864";
"Bee County, Texas";48025;0;
"Belknap County, New Hampshire";33001;0;
"Bell County, Kentucky";21013;0;
"Bell County, Texas";48027;"2,097095946";
"Belmont County, Ohio";39013;"1,419395409";
"Beltrami County, Minnesota";27007;0;
"Ben Hill County, Georgia";13017;0;
"Benewah County, Idaho";16009;"0,011007338";
"Bennett County, South Dakota";46007;0;
"Bennington County, Vermont";50003;"1,310190718";
"Benson County, North Dakota";38005;0;
"Bent County, Colorado";8011;0;
"Benton County, Arkansas";5007;"0,854163919";
"Benton County, Indiana";18007;0;
"Benton County, Iowa";19011;"0,009094244";
"Benton County, Minnesota";27009;"3,023331412";
"Benton County, Mississippi";28009;0;
"Benton County, Missouri";29015;0;
"Benton County, Oregon";41003;"4,377076012";
"Benton County, Tennessee";47005;0;
"Benton County, Washington";53005;"4,445458208";
"Benzie County, Michigan";26019;0;
"Bergen County, New Jersey";34003;"6,443828987";
"Berkeley County, South Carolina";45015;"0,360038451";
"Berks County, Pennsylvania";42011;"3,963505195";
"Berkshire County, Massachusetts";25003;"2,416376672";
"Bernalillo County, New Mexico";35001;"4,76094095";
"Berrien County, Georgia";13019;0;
"Berrien County, Michigan";26021;"0,373559258";
"Bertie County, North Carolina";37015;0;
"Bethel Census Area County, Alaska";2050;0;
"Bexar County, Texas";48029;"6,210437451";
"Bibb County, Alabama";1007;"0,158361697";
"Bienville Parish County, Louisiana";22013;0;
"Big Horn County, Montana";30003;0;
"Big Horn County, Wyoming";56003;0;
"Big Stone County, Minnesota";27011;0;
"Billings County, North Dakota";38007;0;
"Bingham County, Idaho";16011;"0,197799318";
"Black Hawk County, Iowa";19013;"2,146149081";
"Blackford County, Indiana";18009;0;
"Bladen County, North Carolina";37017;0;
"Blaine County, Idaho";16013;"3,389131793";
"Blaine County, Montana";30005;0;
"Blaine County, Nebraska";31009;0;
"Blaine County, Oklahoma";40011;0;
"Blair County, Pennsylvania";42013;"0,405477529";
"Blanco County, Texas";48031;0;
"Bland County, Virginia";51021;0;
"Bleckley County, Georgia";13023;0;
"Bledsoe County, Tennessee";47007;0;
"Blount County, Alabama";1009;0;
"Blount County, Tennessee";47009;0;
"Blue Earth County, Minnesota";27013;0;
"Boise County, Idaho";16015;0;
"Bolivar County, Mississippi";28011;0;
"Bollinger County, Missouri";29017;0;
"Bon Homme County, South Dakota";46009;0;
"Bond County, Illinois";17005;0;
"Bonner County, Idaho";16017;"0,589021654";
"Bonneville County, Idaho";16019;"2,385499288";
"Boone County, Arkansas";5009;0;
"Boone County, Illinois";17007;0;
"Boone County, Indiana";18011;0;
"Boone County, Iowa";19015;0;
"Boone County, Kentucky";21015;"1,904129927";
"Boone County, Missouri";29019;"3,416685269";
"Boone County, Nebraska";31011;0;
"Borden County, Texas";48033;0;
"Bosque County, Texas";48035;0;
"Bossier Parish County, Louisiana";22015;"1,387480716";
"Botetourt County, Virginia";51023;0;
"Bottineau County, North Dakota";38009;0;
"Boulder County, Colorado";8013;"5,263910078";
"Boundary County, Idaho";16021;0;
"Bourbon County, Kansas";20011;0;
"Bourbon County, Kentucky";21017;0;
"Bowie County, Texas";48037;"1,847031268";
"Bowman County, North Dakota";38011;0;
"Box Butte County, Nebraska";31013;0;
"Box Elder County, Utah";49003;"2,519429783";
"Boyd County, Kentucky";21019;"2,785351253";
"Boyd County, Nebraska";31015;0;
"Boyle County, Kentucky";21021;"1,08153591";
"Bracken County, Kentucky";21023;0;
"Bradford County, Florida";12007;0;
"Bradford County, Pennsylvania";42015;"0,919066259";
"Bradley County, Arkansas";5011;0;
"Bradley County, Tennessee";47011;0;
"Branch County, Michigan";26023;0;
"Brantley County, Georgia";13025;0;
"Brazoria County, Texas";48039;"0,049562457";
"Brazos County, Texas";48041;"1,890016545";
"Breathitt County, Kentucky";21025;0;
"Breckinridge County, Kentucky";21027;0;
"Bremer County, Iowa";19017;0;
"Brevard County, Florida";12009;"2,107186548";
"Brewster County, Texas";48043;"1,197891697";
"Briscoe County, Texas";48045;0;
"Bristol Bay Borough County, Alaska";2060;0;
"Bristol County, Massachusetts";25005;"3,342404675";
"Bristol city County, Virginia";51520;"2,5";
"Broadwater County, Montana";30007;0;
"Brookings County, South Dakota";46011;0;
"Brooks County, Georgia";13027;0;
"Brooks County, Texas";48047;0;
"Broome County, New York";36007;"4,646957052";
"Broomfield County, Colorado";8014;"2,9";
"Broward County, Florida";12011;"4,941992962";
"Brown County, Illinois";17009;0;
"Brown County, Indiana";18013;0;
"Brown County, Kansas";20013;0;
"Brown County, Minnesota";27015;0;
"Brown County, Nebraska";31017;0;
"Brown County, Ohio";39015;"0,050672557";
"Brown County, South Dakota";46013;0;
"Brown County, Texas";48049;0;
"Brown County, Wisconsin";55009;"2,978326448";
"Brule County, South Dakota";46015;0;
"Brunswick County, North Carolina";37019;"0,402139478";
"Brunswick County, Virginia";51025;0;
"Bryan County, Georgia";13029;0;
"Bryan County, Oklahoma";40013;"1,388519127";
"Buchanan County, Iowa";19019;0;
"Buchanan County, Missouri";29021;"3,580994921";
"Buchanan County, Virginia";51027;0;
"Buckingham County, Virginia";51029;"0,214831298";
"Bucks County, Pennsylvania";42017;"3,297928449";
"Buena Vista County, Iowa";19021;0;
"Buena Vista city County, Virginia";51530;"1,3";
"Buffalo County, Nebraska";31019;0;
"Buffalo County, South Dakota";46017;0;
"Buffalo County, Wisconsin";55011;0;
"Bullitt County, Kentucky";21029;"0,46419614";
"Bulloch County, Georgia";13031;0;
"Bullock County, Alabama";1011;0;
"Buncombe County, North Carolina";37021;"3,501150452";
"Bureau County, Illinois";17011;"0,650953248";
"Burke County, Georgia";13033;0;
"Burke County, North Carolina";37023;0;
"Burke County, North Dakota";38013;0;
"Burleigh County, North Dakota";38015;"3,231114462";
"Burleson County, Texas";48051;0;
"Burlington County, New Jersey";34005;"3,622034547";
"Burnet County, Texas";48053;"0,135975128";
"Burnett County, Wisconsin";55013;0;
"Burt County, Nebraska";31021;0;
"Butler County, Alabama";1013;0;
"Butler County, Iowa";19023;0;
"Butler County, Kansas";20015;0;
"Butler County, Kentucky";21031;0;
"Butler County, Missouri";29023;"0,393765164";
"Butler County, Nebraska";31023;0;
"Butler County, Ohio";39017;"1,787700703";
"Butler County, Pennsylvania";42019;"1,452723657";
"Butte County, California";6007;"3,317433754";
"Butte County, Idaho";16023;0;
"Butte County, South Dakota";46019;0;
"Butts County, Georgia";13035;0;
"Cabarrus County, North Carolina";37025;"2,081181702";
"Cache County, Utah";49005;"2,807949913";
"Caddo Parish County, Louisiana";22017;"3,583583467";
"Caddo County, Oklahoma";40015;0;
"Calaveras County, California";6009;"0,699438913";
"Calcasieu Parish County, Louisiana";22019;"1,218491523";
"Caldwell County, Kentucky";21033;0;
"Caldwell Parish County, Louisiana";22021;0;
"Caldwell County, Missouri";29025;0;
"Caldwell County, North Carolina";37027;0;
"Caldwell County, Texas";48055;"0,278757834";
"Caledonia County, Vermont";50005;"1,209128631";
"Calhoun County, Alabama";1015;"0,848042143";
"Calhoun County, Arkansas";5013;0;
"Calhoun County, Florida";12013;0;
"Calhoun County, Georgia";13037;0;
"Calhoun County, Illinois";17013;0;
"Calhoun County, Iowa";19025;0;
"Calhoun County, Michigan";26025;"2,648571907";
"Calhoun County, Mississippi";28013;0;
"Calhoun County, South Carolina";45017;0;
"Calhoun County, Texas";48057;0;
"Callahan County, Texas";48059;0;
"Callaway County, Missouri";29027;0;
"Calloway County, Kentucky";21035;0;
"Calumet County, Wisconsin";55015;"0,191293371";
"Calvert County, Maryland";24009;"1,351387938";
"Camas County, Idaho";16025;0;
"Cambria County, Pennsylvania";42021;"2,646461298";
"Camden County, Georgia";13039;0;
"Camden County, Missouri";29029;0;
"Camden County, New Jersey";34007;"5,870324676";
"Camden County, North Carolina";37029;0;
"Cameron Parish County, Louisiana";22023;0;
"Cameron County, Pennsylvania";42023;0;
"Cameron County, Texas";48061;"2,393161566";
"Camp County, Texas";48063;0;
"Campbell County, Kentucky";21037;"4,176721687";
"Campbell County, South Dakota";46021;0;
"Campbell County, Tennessee";47013;0;
"Campbell County, Virginia";51031;"0,972056442";
"Campbell County, Wyoming";56005;0;
"Canadian County, Oklahoma";40017;0;
"Candler County, Georgia";13043;0;
"Cannon County, Tennessee";47015;0;
"Canyon County, Idaho";16027;"1,800541871";
"Cape Girardeau County, Missouri";29031;0;
"Cape May County, New Jersey";34009;"2,439597855";
"Carbon County, Montana";30009;0;
"Carbon County, Pennsylvania";42025;"0,20522161";
"Carbon County, Utah";49007;"0,335441872";
"Carbon County, Wyoming";56007;0;
"Caribou County, Idaho";16029;0;
"Carlisle County, Kentucky";21039;0;
"Carlton County, Minnesota";27017;0;
"Caroline County, Maryland";24011;"1,204813949";
"Caroline County, Virginia";51033;"0,619069417";
"Carroll County, Arkansas";5015;0;
"Carroll County, Georgia";13045;0;
"Carroll County, Illinois";17015;0;
"Carroll County, Indiana";18015;0;
"Carroll County, Iowa";19027;0;
"Carroll County, Kentucky";21041;0;
"Carroll County, Maryland";24013;"0,722285326";
"Carroll County, Mississippi";28015;0;
"Carroll County, Missouri";29033;0;
"Carroll County, New Hampshire";33003;0;
"Carroll County, Ohio";39019;0;
"Carroll County, Tennessee";47017;0;
"Carroll County, Virginia";51035;"5,991990222";
"Carson City County, Nevada";32510;"2,7";
"Carson County, Texas";48065;0;
"Carter County, Kentucky";21043;0;
"Carter County, Missouri";29035;0;
"Carter County, Montana";30011;0;
"Carter County, Oklahoma";40019;"0,300398319";
"Carter County, Tennessee";47019;"0,255474798";
"Carteret County, North Carolina";37031;0;
"Carver County, Minnesota";27019;"0,881547644";
"Cascade County, Montana";30013;0;
"Casey County, Kentucky";21045;0;
"Cass County, Illinois";17017;0;
"Cass County, Indiana";18017;0;
"Cass County, Iowa";19029;0;
"Cass County, Michigan";26027;"1,273346495";
"Cass County, Minnesota";27021;0;
"Cass County, Missouri";29037;0;
"Cass County, Nebraska";31025;0;
"Cass County, North Dakota";38017;"3,690093026";
"Cass County, Texas";48067;0;
"Cassia County, Idaho";16031;0;
"Castro County, Texas";48069;0;
"Caswell County, North Carolina";37033;0;
"Catahoula Parish County, Louisiana";22025;0;
"Catawba County, North Carolina";37035;"1,24321421";
"Catoosa County, Georgia";13047;0;
"Catron County, New Mexico";35003;0;
"Cattaraugus County, New York";36009;"0,107119962";
"Cavalier County, North Dakota";38019;0;
"Cayuga County, New York";36011;"3,816759311";
"Cecil County, Maryland";24015;"2,308781503";
"Cedar County, Iowa";19031;0;
"Cedar County, Missouri";29039;0;
"Cedar County, Nebraska";31027;0;
"Centre County, Pennsylvania";42027;"5,508841621";
"Cerro Gordo County, Iowa";19033;"2,571839764";
"Chaffee County, Colorado";8015;0;
"Chambers County, Alabama";1017;0;
"Chambers County, Texas";48071;0;
"Champaign County, Illinois";17019;"6,589586572";
"Champaign County, Ohio";39021;0;
"Chariton County, Missouri";29041;0;
"Charles City County, Virginia";51036;0;
"Charles County, Maryland";24017;"2,845130244";
"Charles Mix County, South Dakota";46023;0;
"Charleston County, South Carolina";45019;"2,670129021";
"Charlevoix County, Michigan";26029;0;
"Charlotte County, Florida";12015;0;
"Charlotte County, Virginia";51037;0;
"Charlottesville city County, Virginia";51540;"6,9";
"Charlton County, Georgia";13049;0;
"Chase County, Kansas";20017;0;
"Chase County, Nebraska";31029;0;
"Chatham County, Georgia";13051;"3,637930182";
"Chatham County, North Carolina";37037;0;
"Chattooga County, Georgia";13055;0;
"Chautauqua County, Kansas";20019;0;
"Chautauqua County, New York";36013;"2,465043058";
"Chaves County, New Mexico";35005;0;
"Cheatham County, Tennessee";47021;"0,177643445";
"Cheboygan County, Michigan";26031;0;
"Chelan County, Washington";53007;"5,525784048";
"Chemung County, New York";36015;"0,12635975";
"Chenango County, New York";36017;0;
"Cherokee County, Alabama";1019;0;
"Cherokee County, Georgia";13057;"0,522439361";
"Cherokee County, Iowa";19035;0;
"Cherokee County, Kansas";20021;0;
"Cherokee County, North Carolina";37039;0;
"Cherokee County, Oklahoma";40021;0;
"Cherokee County, South Carolina";45021;0;
"Cherokee County, Texas";48073;0;
"Cherry County, Nebraska";31031;0;
"Chesapeake city County, Virginia";51550;2;
"Cheshire County, New Hampshire";33005;"1,766236996";
"Chester County, Pennsylvania";42029;"3,920971983";
"Chester County, South Carolina";45023;0;
"Chester County, Tennessee";47023;0;
"Chesterfield County, South Carolina";45025;0;
"Chesterfield County, Virginia";51041;"0,939545087";
"Cheyenne County, Colorado";8017;0;
"Cheyenne County, Kansas";20023;0;
"Cheyenne County, Nebraska";31033;0;
"Chickasaw County, Iowa";19037;0;
"Chickasaw County, Mississippi";28017;0;
"Chicot County, Arkansas";5017;0;
"Childress County, Texas";48075;0;
"Chilton County, Alabama";1021;0;
"Chippewa County, Michigan";26033;0;
"Chippewa County, Minnesota";27023;0;
"Chippewa County, Wisconsin";55017;"0,08808951";
"Chisago County, Minnesota";27025;"0,005129605";
"Chittenden County, Vermont";50007;"4,974930698";
"Choctaw County, Alabama";1023;0;
"Choctaw County, Mississippi";28019;0;
"Choctaw County, Oklahoma";40023;0;
"Chouteau County, Montana";30015;0;
"Chowan County, North Carolina";37041;0;
"Christian County, Illinois";17021;0;
"Christian County, Kentucky";21047;"0,155469837";
"Christian County, Missouri";29043;0;
"Churchill County, Nevada";32001;0;
"Cibola County, New Mexico";35006;0;
"Cimarron County, Oklahoma";40025;0;
"Citrus County, Florida";12017;"0,711860743";
"Clackamas County, Oregon";41005;"5,654852101";
"Claiborne Parish County, Louisiana";22027;0;
"Claiborne County, Mississippi";28021;0;
"Claiborne County, Tennessee";47025;0;
"Clallam County, Washington";53009;"3,535901968";
"Clare County, Michigan";26035;0;
"Clarendon County, South Carolina";45027;0;
"Clarion County, Pennsylvania";42031;0;
"Clark County, Arkansas";5019;"0,456821138";
"Clark County, Idaho";16033;0;
"Clark County, Illinois";17023;0;
"Clark County, Indiana";18019;"2,458498753";
"Clark County, Kansas";20025;0;
"Clark County, Kentucky";21049;0;
"Clark County, Missouri";29045;0;
"Clark County, Nevada";32003;"4,89323541";
"Clark County, Ohio";39023;"1,422821803";
"Clark County, South Dakota";46025;0;
"Clark County, Washington";53011;"4,049099978";
"Clark County, Wisconsin";55019;0;
"Clarke County, Alabama";1025;"0,123462187";
"Clarke County, Georgia";13059;0;
"Clarke County, Iowa";19039;"0,893794901";
"Clarke County, Mississippi";28023;0;
"Clarke County, Virginia";51043;0;
"Clatsop County, Oregon";41007;"2,150453175";
"Clay County, Alabama";1027;0;
"Clay County, Arkansas";5021;0;
"Clay County, Florida";12019;"0,33014736";
"Clay County, Georgia";13061;0;
"Clay County, Illinois";17025;0;
"Clay County, Indiana";18021;0;
"Clay County, Iowa";19041;0;
"Clay County, Kansas";20027;0;
"Clay County, Kentucky";21051;0;
"Clay County, Minnesota";27027;"4,45093295";
"Clay County, Mississippi";28025;0;
"Clay County, Missouri";29047;"1,509291045";
"Clay County, Nebraska";31035;0;
"Clay County, North Carolina";37043;0;
"Clay County, South Dakota";46027;0;
"Clay County, Tennessee";47027;0;
"Clay County, Texas";48077;0;
"Clayton County, Georgia";13063;"3,811207271";
"Clayton County, Iowa";19043;0;
"Clear Creek County, Colorado";8019;"0,354350505";
"Clearfield County, Pennsylvania";42033;"0,924170383";
"Clearwater County, Idaho";16035;0;
"Clearwater County, Minnesota";27029;0;
"Cleburne County, Alabama";1029;0;
"Cleburne County, Arkansas";5023;0;
"Clermont County, Ohio";39025;"0,250403825";
"Cleveland County, Arkansas";5025;0;
"Cleveland County, North Carolina";37045;0;
"Cleveland County, Oklahoma";40027;"1,46710428";
"Clinch County, Georgia";13065;0;
"Clinton County, Illinois";17027;"0,023699993";
"Clinton County, Indiana";18023;0;
"Clinton County, Iowa";19045;"2,728944619";
"Clinton County, Kentucky";21053;0;
"Clinton County, Michigan";26037;0;
"Clinton County, Missouri";29049;0;
"Clinton County, New York";36019;"0,618004645";
"Clinton County, Ohio";39027;0;
"Clinton County, Pennsylvania";42035;0;
"Cloud County, Kansas";20029;0;
"Coahoma County, Mississippi";28027;0;
"Coal County, Oklahoma";40029;0;
"Cobb County, Georgia";13067;"2,656884172";
"Cochise County, Arizona";4003;"1,078664282";
"Cochran County, Texas";48079;0;
"Cocke County, Tennessee";47029;0;
"Coconino County, Arizona";4005;"2,970953364";
"Codington County, South Dakota";46029;0;
"Coffee County, Alabama";1031;0;
"Coffee County, Georgia";13069;0;
"Coffee County, Tennessee";47031;0;
"Coffey County, Kansas";20031;0;
"Coke County, Texas";48081;0;
"Colbert County, Alabama";1033;0;
"Cole County, Missouri";29051;"2,838327824";
"Coleman County, Texas";48083;0;
"Coles County, Illinois";17029;"0,491229716";
"Colfax County, Nebraska";31037;0;
"Colfax County, New Mexico";35007;"0,715172763";
"Colleton County, South Carolina";45029;0;
"Collier County, Florida";12021;"2,242617896";
"Collin County, Texas";48085;"1,413062725";
"Collingsworth County, Texas";48087;0;
"Colonial Heights city County, Virginia";51570;"0,7";
"Colorado County, Texas";48089;0;
"Colquitt County, Georgia";13071;0;
"Columbia County, Arkansas";5027;0;
"Columbia County, Florida";12023;0;
"Columbia County, Georgia";13073;"0,136091469";
"Columbia County, New York";36021;"1,050024372";
"Columbia County, Oregon";41009;"1,834997126";
"Columbia County, Pennsylvania";42037;"0,000150101";
"Columbia County, Washington";53013;0;
"Columbia County, Wisconsin";55021;"0,715183349";
"Columbiana County, Ohio";39029;"0,004417758";
"Columbus County, North Carolina";37047;0;
"Colusa County, California";6011;0;
"Comal County, Texas";48091;0;
"Comanche County, Kansas";20033;0;
"Comanche County, Oklahoma";40031;0;
"Comanche County, Texas";48093;0;
"Concho County, Texas";48095;0;
"Concordia Parish County, Louisiana";22029;0;
"Conecuh County, Alabama";1035;0;
"Conejos County, Colorado";8021;0;
"Contra Costa County, California";6013;"5,246912833";
"Converse County, Wyoming";56009;0;
"Conway County, Arkansas";5029;0;
"Cook County, Georgia";13075;0;
"Cook County, Illinois";17031;"7,341462681";
"Cook County, Minnesota";27031;0;
"Cooke County, Texas";48097;"0,685233195";
"Cooper County, Missouri";29053;0;
"Coos County, New Hampshire";33007;0;
"Coos County, Oregon";41011;"1,608899717";
"Coosa County, Alabama";1037;0;
"Copiah County, Mississippi";28029;"0,322906816";
"Corson County, South Dakota";46031;0;
"Cortland County, New York";36023;0;
"Coryell County, Texas";48099;"1,562074574";
"Coshocton County, Ohio";39031;0;
"Costilla County, Colorado";8023;0;
"Cottle County, Texas";48101;0;
"Cotton County, Oklahoma";40033;0;
"Cottonwood County, Minnesota";27033;0;
"Covington County, Alabama";1039;0;
"Covington County, Mississippi";28031;0;
"Covington city County, Virginia";51580;"1,3";
"Coweta County, Georgia";13077;0;
"Cowley County, Kansas";20035;0;
"Cowlitz County, Washington";53015;"2,983604116";
"Craig County, Oklahoma";40035;0;
"Craig County, Virginia";51045;0;
"Craighead County, Arkansas";5031;"1,861762192";
"Crane County, Texas";48103;0;
"Craven County, North Carolina";37049;"0,544800772";
"Crawford County, Arkansas";5033;0;
"Crawford County, Georgia";13079;0;
"Crawford County, Illinois";17033;0;
"Crawford County, Indiana";18025;0;
"Crawford County, Iowa";19047;0;
"Crawford County, Kansas";20037;0;
"Crawford County, Michigan";26039;0;
"Crawford County, Missouri";29055;0;
"Crawford County, Ohio";39033;0;
"Crawford County, Pennsylvania";42039;"2,162611441";
"Crawford County, Wisconsin";55023;0;
"Creek County, Oklahoma";40037;"0,075633459";
"Crenshaw County, Alabama";1041;0;
"Crisp County, Georgia";13081;0;
"Crittenden County, Arkansas";5035;"1,698117098";
"Crittenden County, Kentucky";21055;0;
"Crockett County, Tennessee";47033;0;
"Crockett County, Texas";48105;0;
"Crook County, Oregon";41013;1;
"Crook County, Wyoming";56011;0;
"Crosby County, Texas";48107;0;
"Cross County, Arkansas";5037;0;
"Crow Wing County, Minnesota";27035;0;
"Crowley County, Colorado";8025;0;
"Culberson County, Texas";48109;0;
"Cullman County, Alabama";1043;0;
"Culpeper County, Virginia";51047;"1,5";
"Cumberland County, Illinois";17035;0;
"Cumberland County, Kentucky";21057;0;
"Cumberland County, Maine";23005;"4,894323387";
"Cumberland County, New Jersey";34011;"2,703603171";
"Cumberland County, North Carolina";37051;"2,755993897";
"Cumberland County, Pennsylvania";42041;"1,797043185";
"Cumberland County, Tennessee";47035;0;
"Cumberland County, Virginia";51049;0;
"Cuming County, Nebraska";31039;0;
"Currituck County, North Carolina";37053;0;
"Curry County, New Mexico";35009;0;
"Curry County, Oregon";41015;"0,751597343";
"Custer County, Colorado";8027;0;
"Custer County, Idaho";16037;0;
"Custer County, Montana";30017;0;
"Custer County, Nebraska";31041;0;
"Custer County, Oklahoma";40039;0;
"Custer County, South Dakota";46033;0;
"Cuyahoga County, Ohio";39035;"7,000999341";
"Dade County, Georgia";13083;0;
"Dade County, Missouri";29057;0;
"Daggett County, Utah";49009;0;
"Dakota County, Minnesota";27037;"3,013690286";
"Dakota County, Nebraska";31043;"2,718332987";
"Dale County, Alabama";1045;0;
