Geographic Area Name;Estimate!!HOUSEHOLDS BY TYPE!!Total households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families);Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years;"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years";Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size;Estimate!!RELATIONSHIP!!Population in households;Estimate!!RELATIONSHIP!!Population in households!!Householder;Estimate!!RELATIONSHIP!!Population in households!!Spouse;Estimate!!RELATIONSHIP!!Population in households!!Child;Estimate!!RELATIONSHIP!!Population in households!!Other relatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner;Estimate!!MARITAL STATUS!!Males 15 years and over;Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced;Estimate!!MARITAL STATUS!!Females 15 years and over;Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school;"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool";Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade;"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency);"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher;Estimate!!VETERAN STATUS!!Civilian population 18 years and over;Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
"Barrow County, Georgia";27525;21369;9885;16808;7332;1007;395;3554;2158;6156;5149;2150;10959;7335;2.93;3.35;80595;27525;16666;26228;7408;2768;1483;30697;8735;18111;990;731;2130;32869;7711;17604;1004;2398;4152;19666;1328;953;8682;5476;3227;52993;2527;5050;17181;14021;4279;6977;2958;45416;9935;59848;3654;80685;9810;20959;677;49605;5269;10121;3864
"Jackson County, Georgia";23640;19138;8238;15348;6480;1523;537;2267;1221;4502;3603;1483;9103;6790;2.94;3.27;69618;23640;15401;22522;5571;2484;1238;27335;6858;16969;312;468;2728;29208;6489;16362;978;2401;2978;18755;1321;1246;7945;4927;3316;47292;2073;3956;15192;9866;5034;6846;4325;41263;11171;52526;3567;69795;8258;17896;1284;41867;3473;10032;3501
"Lowndes County, Georgia";41734;23712;9922;15743;5658;622;241;7347;4023;18022;14498;4298;10943;10618;2.68;3.63;111914;41734;15816;36668;9885;7811;1722;43721;20313;16768;721;1121;4798;48972;18283;17265;1685;4770;6969;33714;2234;1326;13184;5462;11508;68391;1499;8194;21956;15665;6419;8944;5714;58698;14658;86060;7856;111388;10551;27815;1084;69309;5108;14264;4359
"Richmond County, Georgia";70534;39598;15397;22121;6613;2671;700;14806;8084;30936;27638;9979;17817;20461;2.71;3.76;191131;70534;21931;68013;19155;11498;3555;78007;38710;23243;3464;3083;9507;85250;33461;27012;2686;8196;13895;49678;3181;3228;20529;8946;13794;132555;4214;16474;42017;29249;11931;18074;10596;111867;28670;151256;17827;191535;31567;45522;3330;119301;19121;26712;9116
"Troup County, Georgia";25417;17648;7434;10808;3891;1117;705;5723;2838;7769;6539;2382;9248;7387;2.70;3.23;68516;25417;10877;22231;6251;3740;1262;26344;10880;11408;621;807;2628;29637;8783;12194;1409;3122;4129;19800;1103;616;8923;3714;5444;44510;2414;4074;16981;11437;2504;4466;2634;38022;7100;52872;2961;68742;10202;17092;861;41935;5759;9715;3582
"Walker County, Georgia";26895;18983;6607;13049;4329;2107;647;3827;1631;7912;6598;3747;8654;10043;2.52;3.02;67715;26895;12983;17938;7365;2534;1190;28155;8249;13780;728;1157;4241;28935;6427;13989;727;3606;4186;15292;837;653;7029;4251;2522;48304;1841;5058;16303;11145;5800;5689;2468;41405;8157;54355;4465;67886;11764;14986;864;40146;5880;12754;5020
"Adams County, Illinois";26397;17655;7194;13616;4664;1203;750;2836;1780;8742;7215;3624;7727;8762;2.43;2.95;64276;26397;13479;18278;2598;3524;1954;25739;7504;14662;107;1045;2421;27126;6016;13577;516;2878;4139;13750;1387;1033;6152;3231;1947;46075;589;2293;15221;10437;4122;8835;4578;43193;13413;50712;4648;64486;9412;14944;492;37100;4311;12442;4609
"DeKalb County, Illinois";38849;21298;10350;16588;7686;1246;573;3464;2091;17551;12207;3782;11410;9123;2.56;3.36;99561;38849;16676;30081;3579;10376;4085;41907;20076;17206;574;1200;2851;43333;17011;17959;654;3202;4507;35729;1397;644;10668;5806;17214;62409;1580;2200;13590;13850;7844;14704;8641;58629;23345;81870;5801;103457;11345;22273;1167;68423;6319;12761;3859
"St. Clair County, Illinois";104803;62855;24809;44570;15407;3991;2477;14294;6925;41948;36598;12876;28133;29575;2.46;3.24;257467;104803;44660;81351;14920;11733;6102;100646;38998;47173;1518;2577;10380;109613;35989;46434;1611;10469;15110;66925;4253;2234;28822;14164;17452;179165;4668;13150;47379;41564;19824;31043;21537;161347;52580;196894;24428;255415;32827;61024;1864;154612;16981;39779;13982
"Williamson County, Illinois";27815;16751;6648;12029;3775;1358;781;3364;2092;11064;8992;3957;7246;8920;2.34;2.98;64978;27815;12145;17303;3680;4035;1926;27339;8787;12464;324;1673;4091;26957;6644;13206;538;2568;4001;16160;1198;824;6929;3396;3813;47946;1226;2186;16184;11265;5723;6371;4991;44534;11362;52159;4939;65092;11180;14897;600;38002;5707;12193;4873
"Delaware County, Indiana";45311;26313;9661;19433;6546;1842;940;5038;2175;18998;14816;5641;10797;13642;2.37;3.00;107475;45311;19262;27545;5885;9472;2760;45956;17862;20718;985;1307;5084;51147;18187;19976;1025;4949;7010;34645;1721;1508;8793;4383;18240;70761;1898;6248;22869;15647;6391;9434;8274;62615;17708;93202;7935;113288;19117;21297;1693;73207;10691;18784;6733
"Hendricks County, Indiana";60368;45502;21429;36685;17149;3373;789;5444;3491;14866;12010;4845;22678;16002;2.73;3.16;164925;60368;36831;52527;8780;6419;2861;65698;19570;36277;1506;2439;5906;67402;15135;40110;591;5623;5943;42038;2309;3375;17735;11228;7391;112599;2215;6339;26919;24627;9456;28030;15013;104045;43043;125190;9696;164922;16198;41742;1058;100808;7389;22372;7751
"LaPorte County, Indiana";43122;27658;11508;19811;6816;2974;2020;4873;2672;15464;13127;6152;12800;14421;2.37;2.92;102061;43122;19906;28491;4637;5905;3455;47017;17095;21646;303;1460;6513;43342;11883;20961;233;3689;6576;21195;1566;1600;10115;4300;3614;77816;3024;6135;32274;14592;6759;10074;4958;68657;15032;86585;7583;102448;16475;23312;1448;59733;7711;19403;7316
"Madison County, Indiana";50426;32081;12164;23265;7469;2055;749;6761;3946;18345;15364;5819;15162;16371;2.45;3.03;123531;50426;23092;33307;8730;7976;3679;52728;17673;25164;607;1463;7821;53563;12241;24265;1172;5634;10251;27913;1579;1278;12702;6790;5564;90368;2081;8496;34531;19719;8351;11430;5760;79791;17190;101604;10578;124910;24488;27870;1848;74265;13964;22775;8676
"Dubuque County, Iowa";38501;24381;10071;18559;6389;2691;1658;3131;2024;14120;11869;4465;10691;11474;2.41;2.98;92646;38501;18773;25952;3486;5934;2339;39375;14237;19803;129;886;4320;39546;11315;19582;298;3648;4703;23550;2357;1563;8416;4477;6737;65356;1491;3639;22731;11625;5738;12760;7372;60226;20132;75326;6581;95638;12151;21453;373;57303;6424;16882;5354
"Pottawattamie County, Iowa";36635;23277;8834;16373;5379;1939;764;4965;2691;13358;11290;4685;9996;11304;2.49;3.12;91344;36635;16525;25766;7000;5418;2515;36070;12906;17796;506;810;4052;39309;10397;18665;215;4292;5740;22692;1659;920;9960;5509;4644;63335;1948;4435;21595;15123;6911;9220;4103;56952;13323;71821;6690;92587;12524;21604;923;54880;6241;16103;5360
"Johnson County, Kansas";231184;156199;72402;129790;57092;6653;3653;19756;11657;74985;60640;20209;77466;59692;2.56;3.14;592884;231184;129499;181333;22993;27875;13254;232176;71512;135331;2290;3568;19475;245197;62445;135152;2115;17491;27994;155171;11863;8653;64380;35125;35150;404540;6535;9847;57245;72960;32528;139272;86153;388158;225425;451508;25799;593482;55991;145452;5573;364084;24400;83946;26018
"Kenton County, Kentucky";64611;40085;16351;30599;12185;2074;886;7412;3280;24526;20011;6637;18894;16484;2.53;3.19;163456;64611;30362;48890;8727;10866;5893;64828;23600;31588;639;1362;7639;67461;19200;32364;2649;5638;7610;38893;2873;2392;18078;7116;8434;112365;3072;7118;29945;24024;10232;23419;14555;102175;37974;126681;10705;164685;24207;39305;3707;101925;13484;23455;7016
"Warren County, Kentucky";48843;30497;14556;20675;9124;3117;2001;6705;3431;18346;13245;4827;16344;12494;2.54;3.04;124081;48843;20951;33393;7966;12928;4735;51555;20563;22342;982;1948;5720;54550;18727;22073;1283;4627;7840;40807;2615;1957;12722;7040;16473;80661;4689;5503;22299;16951;7240;14991;8988;70469;23979;101050;7057;129919;21471;30018;1605;83158;12893;16743;6973
"Lafayette Parish, Louisiana";94002;59081;26440;43356;18293;3794;1432;11931;6715;34921;28610;7935;29148;22030;2.53;3.20;237442;94002;42827;73966;13474;13173;5652;93871;35582;45195;729;2908;9457;100832;34662;45247;1242;8077;11604;63363;3771;2254;25274;12687;19377;160854;6240;12469;51087;32138;7012;34922;16986;142145;51908;185434;11982;240764;30427;57295;2618;152520;17544;30949;10265
"Charles County, Maryland";56947;41483;17911;28570;10260;2685;2163;10228;5488;15464;12457;3262;20397;13502;2.80;3.30;159396;56947;28692;52943;13788;7026;2940;61762;23197;31558;774;1291;4942;68845;24129;31350;1061;4370;7935;43373;2886;2234;16175;10384;11694;108420;1932;4087;33013;27894;9184;21589;10721;102401;32310;121058;16530;157566;14863;38138;1257;99761;7791;19667;5815
"Frederick County, Maryland";95903;66920;29959;52962;23208;3970;1811;9988;4940;28983;22487;9756;33082;27099;2.62;3.14;251083;95903;52821;77698;12640;12021;6153;101884;32178;56663;1266;2958;8819;105156;26505;55615;1765;7943;13328;67524;4087;3619;26608;14152;19058;174296;6031;7340;41704;31525;14406;40522;32768;160925;73290;195472;16386;253184;29521;59171;3467;157960;15063;36053;10991
"Prince George's County, Maryland";315759;206154;86104;130491;50968;18535;8966;57128;26170;109605;90819;29302;101560;86021;2.82;3.46;890285;315759;130518;270759;106743;66506;16763;351086;151204;155916;7161;6411;30394;387699;155167;148617;11466;26844;45605;238221;11800;12531;86981;45647;81262;619199;38405;40685;154423;135755;37262;119697;92972;540109;212669;705120;52923;902794;85670;201820;5726;582839;45252;118135;34692
"Middlesex County, Massachusetts";612224;385308;170676;306764;135973;21944;5865;56600;28838;226916;164735;68232;182449;174553;2.54;3.14;1556965;612224;306197;436294;82096;120154;40687;656245;254572;334054;5722;15078;46819;696072;239038;333192;8005;48788;67049;416651;31669;17884;138316;79243;149539;1135011;33296;35971;208798;138685;62690;322142;333429;1065744;655571;1294823;54777;1600272;152049;318278;12808;1042373;69344;239621;69897
"Suffolk County, Massachusetts";315049;153541;63057;94338;34531;13758;5144;45445;23382;161508;111596;33250;71924;72521;2.41;3.19;759146;315049;93785;181447;60759;108106;26396;333695;186444;114036;6267;4233;22715;361473;190574;109396;11216;20476;29811;223639;8966;11066;56183;30528;116896;563044;50846;30376;109752;76711;26381;146569;122409;481822;268978;673047;19632;801349;95849;133526;6233;573480;50738;94343;38878
"Eaton County, Michigan";44879;29437;11313;22371;6939;1721;1227;5345;3147;15442;12364;4894;12130;13906;2.41;2.91;108002;44879;22442;29565;4163;6953;3572;44818;15074;22940;195;1102;5507;46478;11884;23685;771;4015;6123;24559;1357;1526;9752;5840;6084;77818;1484;2357;18687;22656;9765;14567;8302;73977;22869;87142;7001;108913;17946;22450;2214;66526;8815;19937;6917
"Grand Traverse County, Michigan";36782;22866;8091;18712;5080;1545;1264;2609;1747;13916;9930;4675;9119;12557;2.47;3.00;90710;36782;18747;23739;3279;8163;3518;37721;12464;19084;794;1113;4266;39234;10247;20118;224;2889;5756;19174;730;994;9286;4096;4068;67134;938;1993;17637;15895;7615;15128;7928;64203;23056;73324;5761;91483;11203;18916;879;54596;4932;17971;5392
"Jackson County, Michigan";62598;39406;14858;28870;8926;3611;1725;6925;4207;23192;19595;8067;16665;19935;2.39;3.01;149552;62598;28735;43940;6336;7943;3514;67188;23304;30761;351;2302;10470;64293;17227;30960;764;5515;9827;36536;1937;1601;14729;8999;9270;111128;2171;8354;38174;28191;10922;15362;7954;100603;23316;124871;10575;151133;24316;33783;2453;89702;12149;27648;9714
"Kalamazoo County, Michigan";104234;61117;27363;45485;18264;4651;2248;10981;6851;43117;31796;12175;29217;27917;2.46;3.07;256459;104234;45404;68936;11925;25960;7954;105873;43359;47875;1570;2400;10669;110937;40265;48763;673;8170;13066;78536;4349;3846;26081;11732;32528;166298;3035;7744;37969;36906;16078;39223;25343;155519;64566;207422;13709;262682;32469;57056;2742;166542;18762;39084;10965
"Muskegon County, Michigan";67196;44746;17547;30800;10302;2952;1091;10994;6154;22450;17504;7321;20208;20830;2.48;2.96;166362;67196;30738;49289;7729;11410;5379;70105;25903;32587;570;2157;8888;70513;20808;32111;376;7549;9669;38026;1856;2613;18028;8907;6622;119728;2034;5968;40443;33170;14568;15731;7814;111726;23545;133524;10977;168411;24053;40037;1562;99920;12081;28454;10410
"Ottawa County, Michigan";103438;74706;33422;62474;26518;4122;2094;8110;4810;28732;21492;10201;35839;29238;2.72;3.14;280847;103438;62289;88698;9020;17402;5124;114094;36998;65242;347;2265;9242;118627;34716;64099;1291;7877;10644;84122;5763;4774;30547;14970;28068;181009;2545;7890;51332;38687;17548;41842;21165;170574;63007;220859;12421;289215;29233;69509;2750;177090;14183;42616;12300
"Anoka County, Minnesota";128140;90726;41262;70346;29354;6893;3988;13487;7920;37414;29342;11204;44280;34127;2.74;3.23;350790;128140;70232;112145;19806;20467;9878;141297;47453;73874;2305;3422;14243;142859;38467;75009;1764;9678;17941;86712;5411;3602;38238;20458;19003;241863;6122;9680;66319;53565;28455;55113;22609;226061;77722;269161;18865;351332;34641;84241;2970;218107;16415;48984;15256
