id;geography; Total_population; Total_Male; Total_Female;Total_age0to17;Male_age0to17;Female_age0to17;Total_age18to64;Male_age18to64;Female_age18to64;Total_age65plus;Male_age65plus;Female_age65plus;Total_age85plusr;Male_age85plusr;Female_age85plusr;pop_density;Total households;Total households!!Family households (families);Total households!!Family households (families)!!With own children of the householder under 18 years;Total households!!Family households (families)!!Married-couple family;Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years;"Total households!!Family households (families)!!Male householder, no wife present, family";HOUSEHOLDS BY TYPE!!;"Total households!!Family households (families)!!Female householder, no husband present, family";"Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years";Total households!!Nonfamily households;Total households!!Nonfamily households!!Householder living alone;Total households!!Nonfamily households!!Householder living alone!!65 years and over;Total households!!Households with one or more people under 18 years;Total households!!Households with one or more people 65 years and over;Total households!!Average household size;Total households!!Average family size;RELATIONSHIP!!Population in households;RELATIONSHIP!!Population in households!!Householder;RELATIONSHIP!!Population in households!!Spouse;RELATIONSHIP!!Population in households!!Child;RELATIONSHIP!!Population in households!!Other relatives;RELATIONSHIP!!Population in households!!Nonrelatives;RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner;MARITAL STATUS!!Males 15 years and over;MARITAL STATUS!!Males 15 years and over!!Never married;"MARITAL STATUS!!Males 15 years and over!!Now married, except separated";MARITAL STATUS!!Males 15 years and over!!Separated;MARITAL STATUS!!Males 15 years and over!!Widowed;MARITAL STATUS!!Males 15 years and over!!Divorced;MARITAL STATUS!!Females 15 years and over;MARITAL STATUS!!Females 15 years and over!!Never married;"MARITAL STATUS!!Females 15 years and over!!Now married, except separated";MARITAL STATUS!!Females 15 years and over!!Separated;MARITAL STATUS!!Females 15 years and over!!Widowed;MARITAL STATUS!!Females 15 years and over!!Divorced;SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school;"SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool";SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten;SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8);SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12);SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school;EDUCATIONAL ATTAINMENT!!Population 25 years and over;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade;"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma";EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency);"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree";EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher;EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher;VETERAN STATUS!!Civilian population 18 years and over;VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over;DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability;TOT_POP;TOT_MALE;TOT_FEMALE;WA_MALE;WA_FEMALE;BA_MALE;BA_FEMALE;IA_MALE;IA_FEMALE;AA_MALE;AA_FEMALE;NA_MALE;NA_FEMALE;TOM_MALE;TOM_FEMALE;WAC_MALE;WAC_FEMALE;BAC_MALE;BAC_FEMALE;IAC_MALE;IAC_FEMALE;AAC_MALE;AAC_FEMALE;NAC_MALE;NAC_FEMALE;NH_MALE;NH_FEMALE;NHWA_MALE;NHWA_FEMALE;NHBA_MALE;NHBA_FEMALE;NHIA_MALE;NHIA_FEMALE;NHAA_MALE;NHAA_FEMALE;NHNA_MALE;NHNA_FEMALE;NHTOM_MALE;NHTOM_FEMALE;NHWAC_MALE;NHWAC_FEMALE;NHBAC_MALE;NHBAC_FEMALE;NHIAC_MALE;NHIAC_FEMALE;NHAAC_MALE;NHAAC_FEMALE;NHNAC_MALE;NHNAC_FEMALE;H_MALE;H_FEMALE;HWA_MALE;HWA_FEMALE;HBA_MALE;HBA_FEMALE;HIA_MALE;HIA_FEMALE;HAA_MALE;HAA_FEMALE;HNA_MALE;HNA_FEMALE;HTOM_MALE;HTOM_FEMALE;HWAC_MALE;HWAC_FEMALE;HBAC_MALE;HBAC_FEMALE;HIAC_MALE;HIAC_FEMALE;HAAC_MALE;HAAC_FEMALE;HNAC_MALE;HNAC_FEMALE
1017;Chambers County;33615;16093;17522;6992;3572;3420;20061;9733;10328;6562;2788;3774;749;198;551;"56,34797595";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33615;16093;17522;9291;9891;6253;7193;55;48;279;167;10;5;205;218;9477;10096;6379;7332;134;110;299;197;16;18;15617;17137;8973;9593;6158;7142;37;41;264;162;4;4;181;195;9136;9778;6268;7269;110;91;282;189;8;13;476;385;318;298;95;51;18;7;15;5;6;1;24;23;341;318;111;63;24;19;17;8;8;5
1019;Cherokee County;26032;12896;13136;4990;2533;2457;15062;7574;7488;5980;2789;3191;536;184;352;"47,0294858";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26032;12896;13136;11983;12234;572;537;89;83;33;55;5;3;214;224;12184;12445;660;632;211;198;51;86;13;9;12671;12939;11792;12068;571;533;77;71;32;50;1;0;198;217;11978;12275;652;624;189;180;48;79;7;6;225;197;191;166;1;4;12;12;1;5;4;3;16;7;206;170;8;8;22;18;3;7;6;3
1021;Chilton County;44153;21668;22485;10491;5224;5267;26251;13074;13177;7411;3370;4041;769;297;472;"63,72649824";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44153;21668;22485;18888;19571;2216;2363;129;121;87;128;48;29;300;273;19167;19824;2390;2510;235;223;129;175;63;44;19718;20935;17190;18194;2110;2291;77;82;78;117;8;6;255;245;17430;18424;2257;2425;163;171;113;159;19;15;1950;1550;1698;1377;106;72;52;39;9;11;40;23;45;28;1737;1400;133;85;72;52;16;16;44;29
1023;Choctaw County;12841;6070;6771;2567;1338;1229;7321;3445;3876;2953;1287;1666;353;132;221;"14,05742422";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12841;6070;6771;3587;3756;2418;2937;14;10;7;16;0;0;44;52;3622;3806;2443;2962;29;31;15;24;6;1;6004;6703;3537;3704;2405;2926;13;10;7;13;0;0;42;50;3570;3752;2429;2950;28;30;14;21;6;1;66;68;50;52;13;11;1;0;0;3;0;0;2;2;52;54;14;12;1;1;1;3;0;0
1025;Clarke County;23920;11328;12592;5195;2612;2583;13972;6629;7343;4753;2087;2666;592;189;403;"19,31492649";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23920;11328;12592;6191;6590;4925;5749;53;73;46;58;4;1;109;121;6291;6699;4991;5812;90;114;61;84;12;9;11156;12438;6068;6492;4892;5711;45;64;44;56;4;1;103;114;6162;6595;4955;5770;79;104;57;79;11;9;172;154;123;98;33;38;8;9;2;2;0;0;6;7;129;104;36;42;11;10;4;5;1;0
1027;Clay County;13275;6492;6783;2688;1413;1275;7836;3848;3988;2751;1231;1520;312;120;192;"21,97989475";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13275;6492;6783;5431;5615;892;976;29;43;16;16;0;0;124;133;5548;5741;963;1057;75;83;24;33;7;3;6275;6600;5238;5452;873;963;27;39;14;14;0;0;123;132;5354;5577;943;1044;73;79;22;30;7;3;217;183;193;163;19;13;2;4;2;2;0;0;1;1;194;164;20;13;2;4;2;3;0;0
1029;Cleburne County;14987;7421;7566;3412;1791;1621;8660;4313;4347;2915;1317;1598;339;107;232;"26,75750674";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14987;7421;7566;7070;7164;201;240;34;40;10;23;10;1;96;98;7162;7255;247;294;79;74;18;39;13;3;7216;7399;6890;7017;197;233;28;36;8;23;1;0;92;90;6979;7100;242;284;71;68;15;37;3;1;205;167;180;147;4;7;6;4;2;0;9;1;4;8;183;155;5;10;8;6;3;2;10;2
1031;Coffee County;51909;25521;26388;12280;6318;5962;30828;15357;15471;8801;3846;4955;970;316;654;"76,45075182";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51909;25521;26388;19529;19839;4389;4803;364;368;300;549;129;77;810;752;20260;20519;4748;5115;685;667;501;765;186;129;23420;24554;17888;18373;4246;4676;289;299;272;531;42;27;683;648;18513;18964;4542;4943;548;551;450;716;84;59;2101;1834;1641;1466;143;127;75;69;28;18;87;50;127;104;1747;1555;206;172;137;116;51;49;102;70
1033;Colbert County;54762;26259;28503;11370;5734;5636;32478;15778;16700;10914;4747;6167;1286;492;794;"92,38712117";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54762;26259;28503;21326;22812;4092;4783;188;175;135;188;21;20;497;525;21797;23304;4350;5067;397;381;182;252;40;36;25467;27830;20670;22262;4034;4727;158;156;131;183;17;17;457;485;21103;22718;4269;4994;353;345;174;238;32;32;792;673;656;550;58;56;30;19;4;5;4;3;40;40;694;586;81;73;44;36;8;14;8;4
1035;Conecuh County;12277;5881;6396;2550;1258;1292;6965;3361;3604;2762;1262;1500;325;137;188;"14,44013136";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12277;5881;6396;3152;3187;2599;3081;36;27;10;16;2;2;82;83;3226;3264;2640;3125;75;60;18;30;8;3;5740;6273;3066;3110;2560;3046;35;27;9;16;1;2;69;72;3128;3176;2592;3084;71;56;17;28;5;3;141;123;86;77;39;35;1;0;1;0;1;0;13;11;98;88;48;41;4;4;1;2;3;0
1037;Coosa County;10715;5399;5316;1777;931;846;6457;3301;3156;2481;1167;1314;270;101;169;"16,46155234";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10715;5399;5316;3671;3496;1612;1697;40;24;4;11;7;11;65;77;3729;3568;1638;1731;77;59;12;22;11;15;5251;5194;3584;3422;1586;1679;24;18;2;11;0;1;55;63;3635;3483;1607;1707;57;47;8;17;1;4;148;122;87;74;26;18;16;6;2;0;7;10;10;14;94;85;31;24;20;12;4;5;10;11
1039;Covington County;36986;17896;19090;8089;4138;3951;21107;10366;10741;7790;3392;4398;979;316;663;"35,88934647";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36986;17896;19090;15220;16049;2147;2517;136;120;84;88;2;2;307;314;15516;16356;2315;2684;265;238;106;121;7;9;17564;18775;14969;15799;2108;2494;121;104;78;81;1;1;287;296;15245;16090;2262;2650;244;216;99;111;6;7;332;315;251;250;39;23;15;16;6;7;1;1;20;18;271;266;53;34;21;22;7;10;1;2
1041;Crenshaw County;13824;6674;7150;3160;1633;1527;8035;3898;4137;2629;1143;1486;303;84;219;"22,70454394";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13824;6674;7150;4908;5154;1499;1745;39;48;82;73;4;2;142;128;5042;5277;1593;1816;86;93;93;90;6;4;6502;7002;4768;5040;1483;1727;38;42;77;72;1;1;135;120;4896;5156;1571;1793;83;83;88;87;3;3;172;148;140;114;16;18;1;6;5;1;3;1;7;8;146;121;22;23;3;10;5;3;3;1
1043;Cullman County;83442;41245;42197;18757;9554;9203;49239;24781;24458;15446;6910;8536;1450;530;920;"113,5604239";30323;21587;8770;16778;6270;1680;643;3129;1857;8736;6714;4379;10758;10609;2.71;3.20;82192;30323;16860;21718;8951;4340;757;33209;8598;18639;426;1427;4119;34880;6434;18152;1547;4194;4553;17743;734;547;8867;4571;3024;58319;2733;7495;18149;15616;7267;4916;2143;48091;7059;64550;5804;82550;18036;18877;1344;48268;9479;15405;7213;83442;41245;42197;39513;40472;614;502;268;271;216;345;36;36;598;571;40082;41007;812;694;622;592;289;422;60;61;39355;40388;37824;38822;546;460;228;227;202;331;26;28;529;520;38330;39316;711;627;544;524;267;395;46;48;1890;1809;1689;1650;68;42;40;44;14;14;10;8;69;51;1752;1691;101;67;78;68;22;27;14;13
1045;Dale County;48956;24023;24933;11247;5750;5497;29439;14592;14847;8270;3681;4589;898;338;560;"87,2499073";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48956;24023;24933;18102;18017;4731;5531;224;168;243;452;42;62;681;703;18716;18641;5071;5883;468;404;406;628;83;112;22319;23387;16714;16756;4607;5405;167;140;227;437;31;47;573;602;17237;17292;4889;5705;357;333;376;590;59;82;1704;1546;1388;1261;124;126;57;28;16;15;11;15;108;101;1479;1349;182;178;111;71;30;38;24;30
1047;Dallas County;38310;17685;20625;9121;4625;4496;22268;10128;12140;6921;2932;3989;701;193;508;"39,14224353";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38310;17685;20625;5100;5530;12226;14768;73;38;126;97;11;6;149;186;5236;5697;12309;14893;131;85;144;126;18;16;17447;20437;4971;5442;12149;14690;55;31;123;92;6;6;143;176;5101;5600;12228;14809;112;74;139;120;13;15;238;188;129;88;77;78;18;7;3;5;5;0;6;10;135;97;81;84;19;11;5;6;5;1
1049;DeKalb County;71385;35428;35957;17188;8834;8354;41875;21065;20810;12322;5529;6793;1207;398;809;"91,86091024";26462;19148;7513;15102;5536;1417;554;2629;1423;7314;6689;3351;9175;8591;2.66;3.16;70420;26462;14977;20650;5801;2530;1055;27582;7879;16306;232;998;2167;29842;6292;15693;779;3832;3246;15407;386;700;8313;4354;1654;48169;6710;4971;14333;9524;5471;3931;3229;36488;7160;54240;3388;70633;10314;17145;318;41495;4786;11993;5210;71385;35428;35957;32745;33439;674;651;737;712;192;176;251;206;829;773;33531;34158;885;843;1319;1268;253;233;289;239;29779;31011;27988;29211;505;529;422;454;131;119;25;20;708;678;28674;29857;682;690;922;946;180;162;40;38;5649;4946;4757;4228;169;122;315;258;61;57;226;186;121;95;4857;4301;203;153;397;322;73;71;249;201
