FIPStxt,State,County,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,RuralUrbanContinuumCode2003,UrbanInfluenceCode2003,Metro2013,Nonmetro2013,Micropolitan2013,Type_2015_Update,Type_2015_Farming_NO,Type_2015_Manufacturing_NO,Type_2015_Mining_NO,Type_2015_Government_NO,Type_2015_Recreation_NO,Low_Education_2015_update,Low_Employment_2015_update,Population_loss_2015_update,Retirement_Destination_2015_Update,Perpov_1980_0711,PersistentChildPoverty_1980_2011,Hipov,HiAmenity,HiCreativeClass2000,Gas_Change,Oil_Change,Oil_Gas_Change,Metro2003,NonmetroNotAdj2003,NonmetroAdj2003,Noncore2003,EconomicDependence2000,Nonmetro2003,Micropolitan2003,FarmDependent2003,ManufacturingDependent2000,LowEducation2000,RetirementDestination2000,PersistentPoverty2000,Noncore2013,Type_2015_Nonspecialized_NO,Metro_Adjacent2013,PersistentChildPoverty2004,RecreationDependent2000
01115,AL,St. Clair,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0
01117,AL,Shelby,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0
01119,AL,Sumter,8,6,8,6,0,1,0,4,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,6,1,0,0,0,1,0,1,1,0,1,1,0
01121,AL,Talladega,4,3,4,5,0,1,1,3,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3,1,1,0,1,1,0,0,0,0,1,1,0
01123,AL,Tallapoosa,6,6,6,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,0,1,1,1,0,0
01125,AL,Tuscaloosa,3,2,3,2,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
01127,AL,Walker,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0
01129,AL,Washington,8,7,8,7,0,1,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,9,0,0,1,1,3,1,0,0,1,0,0,0,1,0,1,1,0
01131,AL,Wilcox,9,10,8,7,0,1,0,3,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,1,1,0,0,1,0
01133,AL,Winston,6,4,6,4,0,1,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,1,0,1,0,0
02010,AK,Aleutian Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02013,AK,Aleutians East,9,12,9,12,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,0,1,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0
02016,AK,Aleutians West,9,11,7,11,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,,0,,,,0,1,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0
02020,AK,Anchorage,2,2,2,2,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,1,,,,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
02050,AK,Bethel,7,11,7,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,0,,,,0,1,0,1,6,1,0,0,0,0,0,1,1,1,0,1,0
02060,AK,Bristol Bay,9,12,9,12,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,,1,,,,0,1,0,1,6,1,0,0,0,0,0,0,1,0,0,0,1
02068,AK,Denali,8,7,8,7,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,,1,,,,0,0,1,1,4,1,0,0,0,0,0,0,1,0,1,0,1
02070,AK,Dillingham,9,12,9,12,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,,0,,,,0,1,0,1,6,1,0,0,0,0,0,1,1,0,0,1,1
02090,AK,Fairbanks North Star,3,2,3,2,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,1,,,,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
02100,AK,Haines,9,12,9,10,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,,1,,,,0,1,0,1,6,1,0,0,0,0,0,0,1,0,0,0,1
02105,AK,Hoonah-Angoon,9,10,9,10,0,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,0,1,0,1,,1,0,,,,,,1,0,0,,
02110,AK,Juneau ,5,8,5,8,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,,1,,,,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0
02122,AK,Kenai Peninsula,7,11,7,11,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,,0,1,0,1,6,1,0,0,0,0,0,0,1,0,0,0,0
02130,AK,Ketchikan Gateway,7,8,7,8,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,,1,,,,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0
02150,AK,Kodiak Island,7,11,7,8,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,0,1,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0
02158,AK,Kusilvak,9,12,9,12,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,,0,,,,0,1,0,1,6,1,0,0,0,1,0,1,1,1,0,1,0
02164,AK,Lake and Peninsula,9,12,9,12,0,1,0,5,0,0,0,0,1,0,0,0,0,0,1,0,,0,,,,0,1,0,1,3,1,0,0,1,0,0,0,1,0,0,0,1
02170,AK,Matanuska-Susitna,2,2,2,2,1,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,,1,,,,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
02180,AK,Nome,7,11,7,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,1,,,,0,1,0,1,6,1,0,0,0,0,0,0,1,1,0,0,0
02185,AK,North Slope,7,11,7,11,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,,0,,,,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0
02188,AK,Northwest Arctic,7,11,7,11,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,,0,,,,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0
02195,AK,Petersburg,9,11,7,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,1,0,1,,1,0,,,,,,1,1,0,,
02198,AK,Prince of Wales-Hyder,9,10,9,12,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,0,1,0,1,,1,0,,,,,,1,0,0,,
02201,AK,Prince of Wales-Outer Ketchikan,,,9,12,,,,,,,,,,,,,,,,,,0,,,,0,1,0,1,6,1,0,0,0,0,0,0,,,,0,1
02220,AK,Sitka ,7,11,7,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,0,1,0,1,4,1,0,0,0,0,0,0,1,1,0,0,0
02230,AK,Skagway,9,12,9,10,0,1,0,5,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,0,1,0,1,,1,0,,,,,,1,0,0,,
02232,AK,Skagway-Hoonah-Angoon,,,9,10,,,,,,,,,,,,,,,,,,0,,,,0,1,0,1,4,1,0,0,0,0,0,0,,,,0,1
02240,AK,Southeast Fairbanks,9,12,8,7,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,,0,,,,0,0,1,1,4,1,0,0,0,0,0,0,1,0,0,0,1
02261,AK,Valdez-Cordova,9,11,9,11,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,,1,,,,0,1,0,1,6,1,0,0,0,0,0,0,1,0,0,0,1
02275,AK,Wrangell ,9,12,7,11,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,0,1,1,1,,1,0,,,,,,1,0,0,,
02280,AK,Wrangell-Petersburg,,,7,11,,,,,,,,,,,,,,,,,,0,,,,0,1,0,1,6,1,0,0,0,0,0,0,,,,0,0
02282,AK,Yakutat ,9,12,9,12,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,0,,,,0,1,0,1,3,1,0,0,1,0,0,0,1,0,0,0,1
02290,AK,Yukon-Koyukuk,9,12,8,7,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,,0,,,,0,0,1,1,4,1,0,0,0,0,0,1,1,1,0,1,1
04001,AZ,Apache,6,6,6,6,0,1,0,4,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,4,1,0,0,0,1,0,1,1,0,1,1,1
04003,AZ,Cochise,3,2,4,5,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4,1,1,0,0,0,1,0,0,0,0,0,0
04005,AZ,Coconino,3,2,3,2,1,0,0,4,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1
04007,AZ,Gila,4,3,4,3,0,1,1,5,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,6,1,1,0,0,0,1,0,0,0,1,0,1
04009,AZ,Graham,7,8,6,8,0,1,1,4,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,4,1,1,0,0,0,1,0,0,0,0,1,0
04011,AZ,Greenlee,7,9,7,8,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0
04012,AZ,La Paz,6,4,6,4,0,1,0,5,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,6,1,0,0,0,1,1,0,1,0,1,0,1
04013,AZ,Maricopa,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0
04015,AZ,Mohave,3,2,4,3,1,0,0,5,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5,1,1,0,0,0,1,0,0,0,0,0,1
04017,AZ,Navajo,4,5,4,6,0,1,1,5,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,6,1,0,0,0,0,1,1,0,0,1,1,1
04019,AZ,Pima,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0
04021,AZ,Pinal,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,1,1,0,0,1,0,1,0
04023,AZ,Santa Cruz,4,5,4,5,0,1,1,4,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,4,1,1,0,0,1,0,0,0,0,1,1,0
04025,AZ,Yavapai,3,2,3,2,1,0,0,5,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1
04027,AZ,Yuma,3,2,3,2,1,0,0,5,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0
05001,AR,Arkansas,6,6,6,6,0,1,0,3,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,0,1,0,1,1,0
05003,AR,Ashley,7,11,7,11,0,1,0,3,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,3,1,0,0,1,0,0,0,1,0,0,1,0
05005,AR,Baxter,7,8,7,8,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,0,1,0,0,1,0,0,0
05007,AR,Benton,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0
05009,AR,Boone,7,8,7,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,1,1,0,0,0,1,0,0,1,0,0,0
05011,AR,Bradley,7,9,6,6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,1,1,1,0,1,0
05013,AR,Calhoun,9,8,9,8,0,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0
05015,AR,Carroll,6,6,6,6,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,3,1,0,0,1,0,1,0,1,0,1,1,1
05017,AR,Chicot,7,9,7,9,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0
05019,AR,Clark,7,8,7,8,0,1,1,4,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,3,1,1,0,1,0,0,0,0,0,0,1,0
05021,AR,Clay,7,9,7,9,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,3,1,0,0,1,1,0,0,1,0,0,1,0
05023,AR,Cleburne,6,6,6,6,0,1,0,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,2,0,0,1,1,3,1,0,0,1,0,1,0,1,0,1,0,0
05025,AR,Cleveland,3,2,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
05027,AR,Columbia,7,8,7,8,0,1,1,3,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,9,9,0,1,0,0,3,1,1,0,1,0,0,1,0,0,0,1,0
05029,AR,Conway,6,6,6,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,1,6,1,0,0,0,0,0,0,1,1,1,0,0
05031,AR,Craighead,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
05033,AR,Crawford,2,2,2,2,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,9,0,9,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
05035,AR,Crittenden,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,1,0,1,0,1,0
05037,AR,Cross,6,4,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,0,1,1,1,1,0
05039,AR,Dallas,6,6,6,6,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,0,1,1,1,0,0
05041,AR,Desha,6,6,6,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,1,1,1,1,1,0
05043,AR,Drew,6,6,7,11,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,1,0,0,1,0,0,0,1,0,1,0,0
05045,AR,Faulkner,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,1,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0
