GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
cen42010sex2_age0to4,"April 1, 2010 - Census - Female; Total - Under 5 years"
est42010sex0_age0to4,"April 1, 2010 - Estimates Base - Both Sexes; Total - Under 5 years"
est42010sex1_age0to4,"April 1, 2010 - Estimates Base - Male; Total - Under 5 years"
est42010sex2_age0to4,"April 1, 2010 - Estimates Base - Female; Total - Under 5 years"
est72010sex0_age0to4,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - Under 5 years
est72010sex1_age0to4,Population Estimate (as of July 1) - 2010 - Male; Total - Under 5 years
est72010sex2_age0to4,Population Estimate (as of July 1) - 2010 - Female; Total - Under 5 years
est72011sex0_age0to4,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - Under 5 years
est72011sex1_age0to4,Population Estimate (as of July 1) - 2011 - Male; Total - Under 5 years
est72011sex2_age0to4,Population Estimate (as of July 1) - 2011 - Female; Total - Under 5 years
est72012sex0_age0to4,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - Under 5 years
est72012sex1_age0to4,Population Estimate (as of July 1) - 2012 - Male; Total - Under 5 years
est72012sex2_age0to4,Population Estimate (as of July 1) - 2012 - Female; Total - Under 5 years
est72013sex0_age0to4,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - Under 5 years
est72013sex1_age0to4,Population Estimate (as of July 1) - 2013 - Male; Total - Under 5 years
est72013sex2_age0to4,Population Estimate (as of July 1) - 2013 - Female; Total - Under 5 years
est72014sex0_age0to4,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - Under 5 years
est72014sex1_age0to4,Population Estimate (as of July 1) - 2014 - Male; Total - Under 5 years
est72014sex2_age0to4,Population Estimate (as of July 1) - 2014 - Females; Total - Under 5 years
est72015sex0_age0to4,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - Under 5 years
est72015sex1_age0to4,Population Estimate (as of July 1) - 2015 - Male; Total - Under 5 years
est72015sex2_age0to4,Population Estimate (as of July 1) - 2015 - Female; Total - Under 5 years
est72016sex0_age0to4,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - Under 5 years
est72016sex1_age0to4,Population Estimate (as of July 1) - 2016 - Male; Total - Under 5 years
est72016sex2_age0to4,Population Estimate (as of July 1) - 2016 - Female; Total - Under 5 years
est72017sex0_age0to4,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - Under 5 years
est72017sex1_age0to4,Population Estimate (as of July 1) - 2017 - Male; Total - Under 5 years
est72017sex2_age0to4,Population Estimate (as of July 1) - 2017 - Female; Total - Under 5 years
est72018sex0_age0to4,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - Under 5 years
est72018sex1_age0to4,Population Estimate (as of July 1) - 2018 - Male; Total - Under 5 years
est72018sex2_age0to4,Population Estimate (as of July 1) - 2018 - Female; Total - Under 5 years
cen42010sex0_age5to9,"April 1, 2010 - Census - Both Sexes; Total - 5 to 9 years"
cen42010sex1_age5to9,"April 1, 2010 - Census - Male; Total - 5 to 9 years"
cen42010sex2_age5to9,"April 1, 2010 - Census - Female; Total - 5 to 9 years"
est42010sex0_age5to9,"April 1, 2010 - Estimates Base - Both Sexes; Total - 5 to 9 years"
est42010sex1_age5to9,"April 1, 2010 - Estimates Base - Male; Total - 5 to 9 years"
est42010sex2_age5to9,"April 1, 2010 - Estimates Base - Female; Total - 5 to 9 years"
est72010sex0_age5to9,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 5 to 9 years
est72010sex1_age5to9,Population Estimate (as of July 1) - 2010 - Male; Total - 5 to 9 years
est72010sex2_age5to9,Population Estimate (as of July 1) - 2010 - Female; Total - 5 to 9 years
est72011sex0_age5to9,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 5 to 9 years
est72011sex1_age5to9,Population Estimate (as of July 1) - 2011 - Male; Total - 5 to 9 years
est72011sex2_age5to9,Population Estimate (as of July 1) - 2011 - Female; Total - 5 to 9 years
est72012sex0_age5to9,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 5 to 9 years
est72012sex1_age5to9,Population Estimate (as of July 1) - 2012 - Male; Total - 5 to 9 years
est72012sex2_age5to9,Population Estimate (as of July 1) - 2012 - Female; Total - 5 to 9 years
est72013sex0_age5to9,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 5 to 9 years
est72013sex1_age5to9,Population Estimate (as of July 1) - 2013 - Male; Total - 5 to 9 years
est72013sex2_age5to9,Population Estimate (as of July 1) - 2013 - Female; Total - 5 to 9 years
est72014sex0_age5to9,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 5 to 9 years
est72014sex1_age5to9,Population Estimate (as of July 1) - 2014 - Male; Total - 5 to 9 years
est72014sex2_age5to9,Population Estimate (as of July 1) - 2014 - Females; Total - 5 to 9 years
est72015sex0_age5to9,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 5 to 9 years
est72015sex1_age5to9,Population Estimate (as of July 1) - 2015 - Male; Total - 5 to 9 years
est72015sex2_age5to9,Population Estimate (as of July 1) - 2015 - Female; Total - 5 to 9 years
est72016sex0_age5to9,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 5 to 9 years
est72016sex1_age5to9,Population Estimate (as of July 1) - 2016 - Male; Total - 5 to 9 years
est72016sex2_age5to9,Population Estimate (as of July 1) - 2016 - Female; Total - 5 to 9 years
est72017sex0_age5to9,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 5 to 9 years
est72017sex1_age5to9,Population Estimate (as of July 1) - 2017 - Male; Total - 5 to 9 years
est72017sex2_age5to9,Population Estimate (as of July 1) - 2017 - Female; Total - 5 to 9 years
est72018sex0_age5to9,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 5 to 9 years
est72018sex1_age5to9,Population Estimate (as of July 1) - 2018 - Male; Total - 5 to 9 years
est72018sex2_age5to9,Population Estimate (as of July 1) - 2018 - Female; Total - 5 to 9 years
cen42010sex0_age10to14,"April 1, 2010 - Census - Both Sexes; Total - 10 to 14 years"
cen42010sex1_age10to14,"April 1, 2010 - Census - Male; Total - 10 to 14 years"
cen42010sex2_age10to14,"April 1, 2010 - Census - Female; Total - 10 to 14 years"
est42010sex0_age10to14,"April 1, 2010 - Estimates Base - Both Sexes; Total - 10 to 14 years"
est42010sex1_age10to14,"April 1, 2010 - Estimates Base - Male; Total - 10 to 14 years"
est42010sex2_age10to14,"April 1, 2010 - Estimates Base - Female; Total - 10 to 14 years"
est72010sex0_age10to14,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 10 to 14 years
est72010sex1_age10to14,Population Estimate (as of July 1) - 2010 - Male; Total - 10 to 14 years
est72010sex2_age10to14,Population Estimate (as of July 1) - 2010 - Female; Total - 10 to 14 years
est72011sex0_age10to14,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 10 to 14 years
est72011sex1_age10to14,Population Estimate (as of July 1) - 2011 - Male; Total - 10 to 14 years
est72011sex2_age10to14,Population Estimate (as of July 1) - 2011 - Female; Total - 10 to 14 years
est72012sex0_age10to14,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 10 to 14 years
est72012sex1_age10to14,Population Estimate (as of July 1) - 2012 - Male; Total - 10 to 14 years
est72012sex2_age10to14,Population Estimate (as of July 1) - 2012 - Female; Total - 10 to 14 years
est72013sex0_age10to14,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 10 to 14 years
est72013sex1_age10to14,Population Estimate (as of July 1) - 2013 - Male; Total - 10 to 14 years
est72013sex2_age10to14,Population Estimate (as of July 1) - 2013 - Female; Total - 10 to 14 years
est72014sex0_age10to14,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 10 to 14 years
est72014sex1_age10to14,Population Estimate (as of July 1) - 2014 - Male; Total - 10 to 14 years
est72014sex2_age10to14,Population Estimate (as of July 1) - 2014 - Females; Total - 10 to 14 years
est72015sex0_age10to14,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 10 to 14 years
est72015sex1_age10to14,Population Estimate (as of July 1) - 2015 - Male; Total - 10 to 14 years
est72015sex2_age10to14,Population Estimate (as of July 1) - 2015 - Female; Total - 10 to 14 years
est72016sex0_age10to14,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 10 to 14 years
est72016sex1_age10to14,Population Estimate (as of July 1) - 2016 - Male; Total - 10 to 14 years
est72016sex2_age10to14,Population Estimate (as of July 1) - 2016 - Female; Total - 10 to 14 years
est72017sex0_age10to14,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 10 to 14 years
est72017sex1_age10to14,Population Estimate (as of July 1) - 2017 - Male; Total - 10 to 14 years
est72017sex2_age10to14,Population Estimate (as of July 1) - 2017 - Female; Total - 10 to 14 years
est72018sex0_age10to14,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 10 to 14 years
est72018sex1_age10to14,Population Estimate (as of July 1) - 2018 - Male; Total - 10 to 14 years
est72018sex2_age10to14,Population Estimate (as of July 1) - 2018 - Female; Total - 10 to 14 years
cen42010sex0_age15to19,"April 1, 2010 - Census - Both Sexes; Total - 15 to 19 years"
cen42010sex1_age15to19,"April 1, 2010 - Census - Male; Total - 15 to 19 years"
cen42010sex2_age15to19,"April 1, 2010 - Census - Female; Total - 15 to 19 years"
est42010sex0_age15to19,"April 1, 2010 - Estimates Base - Both Sexes; Total - 15 to 19 years"
est42010sex1_age15to19,"April 1, 2010 - Estimates Base - Male; Total - 15 to 19 years"
est42010sex2_age15to19,"April 1, 2010 - Estimates Base - Female; Total - 15 to 19 years"
est72010sex0_age15to19,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 15 to 19 years
est72010sex1_age15to19,Population Estimate (as of July 1) - 2010 - Male; Total - 15 to 19 years
est72010sex2_age15to19,Population Estimate (as of July 1) - 2010 - Female; Total - 15 to 19 years
est72011sex0_age15to19,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 15 to 19 years
est72011sex1_age15to19,Population Estimate (as of July 1) - 2011 - Male; Total - 15 to 19 years
est72011sex2_age15to19,Population Estimate (as of July 1) - 2011 - Female; Total - 15 to 19 years
est72012sex0_age15to19,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 15 to 19 years
est72012sex1_age15to19,Population Estimate (as of July 1) - 2012 - Male; Total - 15 to 19 years
est72012sex2_age15to19,Population Estimate (as of July 1) - 2012 - Female; Total - 15 to 19 years
est72013sex0_age15to19,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 15 to 19 years
est72013sex1_age15to19,Population Estimate (as of July 1) - 2013 - Male; Total - 15 to 19 years
est72013sex2_age15to19,Population Estimate (as of July 1) - 2013 - Female; Total - 15 to 19 years
est72014sex0_age15to19,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 15 to 19 years
est72014sex1_age15to19,Population Estimate (as of July 1) - 2014 - Male; Total - 15 to 19 years
est72014sex2_age15to19,Population Estimate (as of July 1) - 2014 - Females; Total - 15 to 19 years
est72015sex0_age15to19,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 15 to 19 years
est72015sex1_age15to19,Population Estimate (as of July 1) - 2015 - Male; Total - 15 to 19 years
est72015sex2_age15to19,Population Estimate (as of July 1) - 2015 - Female; Total - 15 to 19 years
est72016sex0_age15to19,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 15 to 19 years
est72016sex1_age15to19,Population Estimate (as of July 1) - 2016 - Male; Total - 15 to 19 years
est72016sex2_age15to19,Population Estimate (as of July 1) - 2016 - Female; Total - 15 to 19 years
est72017sex0_age15to19,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 15 to 19 years
est72017sex1_age15to19,Population Estimate (as of July 1) - 2017 - Male; Total - 15 to 19 years
est72017sex2_age15to19,Population Estimate (as of July 1) - 2017 - Female; Total - 15 to 19 years
est72018sex0_age15to19,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 15 to 19 years
est72018sex1_age15to19,Population Estimate (as of July 1) - 2018 - Male; Total - 15 to 19 years
est72018sex2_age15to19,Population Estimate (as of July 1) - 2018 - Female; Total - 15 to 19 years
cen42010sex0_age20to24,"April 1, 2010 - Census - Both Sexes; Total - 20 to 24 years"
cen42010sex1_age20to24,"April 1, 2010 - Census - Male; Total - 20 to 24 years"
cen42010sex2_age20to24,"April 1, 2010 - Census - Female; Total - 20 to 24 years"
est42010sex0_age20to24,"April 1, 2010 - Estimates Base - Both Sexes; Total - 20 to 24 years"
est42010sex1_age20to24,"April 1, 2010 - Estimates Base - Male; Total - 20 to 24 years"
est42010sex2_age20to24,"April 1, 2010 - Estimates Base - Female; Total - 20 to 24 years"
est72010sex0_age20to24,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 20 to 24 years
est72010sex1_age20to24,Population Estimate (as of July 1) - 2010 - Male; Total - 20 to 24 years
est72010sex2_age20to24,Population Estimate (as of July 1) - 2010 - Female; Total - 20 to 24 years
est72011sex0_age20to24,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 20 to 24 years
est72011sex1_age20to24,Population Estimate (as of July 1) - 2011 - Male; Total - 20 to 24 years
est72011sex2_age20to24,Population Estimate (as of July 1) - 2011 - Female; Total - 20 to 24 years
est72012sex0_age20to24,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 20 to 24 years
est72012sex1_age20to24,Population Estimate (as of July 1) - 2012 - Male; Total - 20 to 24 years
est72012sex2_age20to24,Population Estimate (as of July 1) - 2012 - Female; Total - 20 to 24 years
est72013sex0_age20to24,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 20 to 24 years
est72013sex1_age20to24,Population Estimate (as of July 1) - 2013 - Male; Total - 20 to 24 years
est72013sex2_age20to24,Population Estimate (as of July 1) - 2013 - Female; Total - 20 to 24 years
est72014sex0_age20to24,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 20 to 24 years
est72014sex1_age20to24,Population Estimate (as of July 1) - 2014 - Male; Total - 20 to 24 years
est72014sex2_age20to24,Population Estimate (as of July 1) - 2014 - Females; Total - 20 to 24 years
est72015sex0_age20to24,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 20 to 24 years
est72015sex1_age20to24,Population Estimate (as of July 1) - 2015 - Male; Total - 20 to 24 years
est72015sex2_age20to24,Population Estimate (as of July 1) - 2015 - Female; Total - 20 to 24 years
est72016sex0_age20to24,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 20 to 24 years
est72016sex1_age20to24,Population Estimate (as of July 1) - 2016 - Male; Total - 20 to 24 years
est72016sex2_age20to24,Population Estimate (as of July 1) - 2016 - Female; Total - 20 to 24 years
est72017sex0_age20to24,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 20 to 24 years
est72017sex1_age20to24,Population Estimate (as of July 1) - 2017 - Male; Total - 20 to 24 years
est72017sex2_age20to24,Population Estimate (as of July 1) - 2017 - Female; Total - 20 to 24 years
est72018sex0_age20to24,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 20 to 24 years
est72018sex1_age20to24,Population Estimate (as of July 1) - 2018 - Male; Total - 20 to 24 years
est72018sex2_age20to24,Population Estimate (as of July 1) - 2018 - Female; Total - 20 to 24 years
cen42010sex0_age25to29,"April 1, 2010 - Census - Both Sexes; Total - 25 to 29 years"
cen42010sex1_age25to29,"April 1, 2010 - Census - Male; Total - 25 to 29 years"
cen42010sex2_age25to29,"April 1, 2010 - Census - Female; Total - 25 to 29 years"
est42010sex0_age25to29,"April 1, 2010 - Estimates Base - Both Sexes; Total - 25 to 29 years"
est42010sex1_age25to29,"April 1, 2010 - Estimates Base - Male; Total - 25 to 29 years"
est42010sex2_age25to29,"April 1, 2010 - Estimates Base - Female; Total - 25 to 29 years"
est72010sex0_age25to29,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 25 to 29 years
est72010sex1_age25to29,Population Estimate (as of July 1) - 2010 - Male; Total - 25 to 29 years
est72010sex2_age25to29,Population Estimate (as of July 1) - 2010 - Female; Total - 25 to 29 years
est72011sex0_age25to29,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 25 to 29 years
est72011sex1_age25to29,Population Estimate (as of July 1) - 2011 - Male; Total - 25 to 29 years
est72011sex2_age25to29,Population Estimate (as of July 1) - 2011 - Female; Total - 25 to 29 years
est72012sex0_age25to29,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 25 to 29 years
est72012sex1_age25to29,Population Estimate (as of July 1) - 2012 - Male; Total - 25 to 29 years
est72012sex2_age25to29,Population Estimate (as of July 1) - 2012 - Female; Total - 25 to 29 years
est72013sex0_age25to29,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 25 to 29 years
est72013sex1_age25to29,Population Estimate (as of July 1) - 2013 - Male; Total - 25 to 29 years
est72013sex2_age25to29,Population Estimate (as of July 1) - 2013 - Female; Total - 25 to 29 years
est72014sex0_age25to29,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 25 to 29 years
est72014sex1_age25to29,Population Estimate (as of July 1) - 2014 - Male; Total - 25 to 29 years
est72014sex2_age25to29,Population Estimate (as of July 1) - 2014 - Females; Total - 25 to 29 years
est72015sex0_age25to29,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 25 to 29 years
est72015sex1_age25to29,Population Estimate (as of July 1) - 2015 - Male; Total - 25 to 29 years
est72015sex2_age25to29,Population Estimate (as of July 1) - 2015 - Female; Total - 25 to 29 years
est72016sex0_age25to29,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 25 to 29 years
est72016sex1_age25to29,Population Estimate (as of July 1) - 2016 - Male; Total - 25 to 29 years
est72016sex2_age25to29,Population Estimate (as of July 1) - 2016 - Female; Total - 25 to 29 years
est72017sex0_age25to29,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 25 to 29 years
est72017sex1_age25to29,Population Estimate (as of July 1) - 2017 - Male; Total - 25 to 29 years
est72017sex2_age25to29,Population Estimate (as of July 1) - 2017 - Female; Total - 25 to 29 years
est72018sex0_age25to29,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 25 to 29 years
est72018sex1_age25to29,Population Estimate (as of July 1) - 2018 - Male; Total - 25 to 29 years
est72018sex2_age25to29,Population Estimate (as of July 1) - 2018 - Female; Total - 25 to 29 years
cen42010sex0_age30to34,"April 1, 2010 - Census - Both Sexes; Total - 30 to 34 years"
cen42010sex1_age30to34,"April 1, 2010 - Census - Male; Total - 30 to 34 years"
cen42010sex2_age30to34,"April 1, 2010 - Census - Female; Total - 30 to 34 years"
est42010sex0_age30to34,"April 1, 2010 - Estimates Base - Both Sexes; Total - 30 to 34 years"
est42010sex1_age30to34,"April 1, 2010 - Estimates Base - Male; Total - 30 to 34 years"
est42010sex2_age30to34,"April 1, 2010 - Estimates Base - Female; Total - 30 to 34 years"
est72010sex0_age30to34,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 30 to 34 years
est72010sex1_age30to34,Population Estimate (as of July 1) - 2010 - Male; Total - 30 to 34 years
est72010sex2_age30to34,Population Estimate (as of July 1) - 2010 - Female; Total - 30 to 34 years
est72011sex0_age30to34,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 30 to 34 years
est72011sex1_age30to34,Population Estimate (as of July 1) - 2011 - Male; Total - 30 to 34 years
est72011sex2_age30to34,Population Estimate (as of July 1) - 2011 - Female; Total - 30 to 34 years
est72012sex0_age30to34,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 30 to 34 years
est72012sex1_age30to34,Population Estimate (as of July 1) - 2012 - Male; Total - 30 to 34 years
est72012sex2_age30to34,Population Estimate (as of July 1) - 2012 - Female; Total - 30 to 34 years
est72013sex0_age30to34,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 30 to 34 years
est72013sex1_age30to34,Population Estimate (as of July 1) - 2013 - Male; Total - 30 to 34 years
est72013sex2_age30to34,Population Estimate (as of July 1) - 2013 - Female; Total - 30 to 34 years
est72014sex0_age30to34,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 30 to 34 years
est72014sex1_age30to34,Population Estimate (as of July 1) - 2014 - Male; Total - 30 to 34 years
est72014sex2_age30to34,Population Estimate (as of July 1) - 2014 - Females; Total - 30 to 34 years
est72015sex0_age30to34,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 30 to 34 years
est72015sex1_age30to34,Population Estimate (as of July 1) - 2015 - Male; Total - 30 to 34 years
est72015sex2_age30to34,Population Estimate (as of July 1) - 2015 - Female; Total - 30 to 34 years
est72016sex0_age30to34,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 30 to 34 years
est72016sex1_age30to34,Population Estimate (as of July 1) - 2016 - Male; Total - 30 to 34 years
est72016sex2_age30to34,Population Estimate (as of July 1) - 2016 - Female; Total - 30 to 34 years
est72017sex0_age30to34,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 30 to 34 years
est72017sex1_age30to34,Population Estimate (as of July 1) - 2017 - Male; Total - 30 to 34 years
est72017sex2_age30to34,Population Estimate (as of July 1) - 2017 - Female; Total - 30 to 34 years
est72018sex0_age30to34,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 30 to 34 years
est72018sex1_age30to34,Population Estimate (as of July 1) - 2018 - Male; Total - 30 to 34 years
est72018sex2_age30to34,Population Estimate (as of July 1) - 2018 - Female; Total - 30 to 34 years
cen42010sex0_age35to39,"April 1, 2010 - Census - Both Sexes; Total - 35 to 39 years"
cen42010sex1_age35to39,"April 1, 2010 - Census - Male; Total - 35 to 39 years"
cen42010sex2_age35to39,"April 1, 2010 - Census - Female; Total - 35 to 39 years"
est42010sex0_age35to39,"April 1, 2010 - Estimates Base - Both Sexes; Total - 35 to 39 years"
est42010sex1_age35to39,"April 1, 2010 - Estimates Base - Male; Total - 35 to 39 years"
est42010sex2_age35to39,"April 1, 2010 - Estimates Base - Female; Total - 35 to 39 years"
est72010sex0_age35to39,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 35 to 39 years
est72010sex1_age35to39,Population Estimate (as of July 1) - 2010 - Male; Total - 35 to 39 years
est72010sex2_age35to39,Population Estimate (as of July 1) - 2010 - Female; Total - 35 to 39 years
est72011sex0_age35to39,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 35 to 39 years
est72011sex1_age35to39,Population Estimate (as of July 1) - 2011 - Male; Total - 35 to 39 years
est72011sex2_age35to39,Population Estimate (as of July 1) - 2011 - Female; Total - 35 to 39 years
est72012sex0_age35to39,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 35 to 39 years
est72012sex1_age35to39,Population Estimate (as of July 1) - 2012 - Male; Total - 35 to 39 years
est72012sex2_age35to39,Population Estimate (as of July 1) - 2012 - Female; Total - 35 to 39 years
est72013sex0_age35to39,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 35 to 39 years
est72013sex1_age35to39,Population Estimate (as of July 1) - 2013 - Male; Total - 35 to 39 years
est72013sex2_age35to39,Population Estimate (as of July 1) - 2013 - Female; Total - 35 to 39 years
est72014sex0_age35to39,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 35 to 39 years
est72014sex1_age35to39,Population Estimate (as of July 1) - 2014 - Male; Total - 35 to 39 years
est72014sex2_age35to39,Population Estimate (as of July 1) - 2014 - Females; Total - 35 to 39 years
est72015sex0_age35to39,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 35 to 39 years
est72015sex1_age35to39,Population Estimate (as of July 1) - 2015 - Male; Total - 35 to 39 years
est72015sex2_age35to39,Population Estimate (as of July 1) - 2015 - Female; Total - 35 to 39 years
est72016sex0_age35to39,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 35 to 39 years
est72016sex1_age35to39,Population Estimate (as of July 1) - 2016 - Male; Total - 35 to 39 years
est72016sex2_age35to39,Population Estimate (as of July 1) - 2016 - Female; Total - 35 to 39 years
est72017sex0_age35to39,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 35 to 39 years
est72017sex1_age35to39,Population Estimate (as of July 1) - 2017 - Male; Total - 35 to 39 years
est72017sex2_age35to39,Population Estimate (as of July 1) - 2017 - Female; Total - 35 to 39 years
est72018sex0_age35to39,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 35 to 39 years
est72018sex1_age35to39,Population Estimate (as of July 1) - 2018 - Male; Total - 35 to 39 years
est72018sex2_age35to39,Population Estimate (as of July 1) - 2018 - Female; Total - 35 to 39 years
cen42010sex0_age40to44,"April 1, 2010 - Census - Both Sexes; Total - 40 to 44 years"
cen42010sex1_age40to44,"April 1, 2010 - Census - Male; Total - 40 to 44 years"
cen42010sex2_age40to44,"April 1, 2010 - Census - Female; Total - 40 to 44 years"
est42010sex0_age40to44,"April 1, 2010 - Estimates Base - Both Sexes; Total - 40 to 44 years"
est42010sex1_age40to44,"April 1, 2010 - Estimates Base - Male; Total - 40 to 44 years"
est42010sex2_age40to44,"April 1, 2010 - Estimates Base - Female; Total - 40 to 44 years"
est72010sex0_age40to44,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 40 to 44 years
est72010sex1_age40to44,Population Estimate (as of July 1) - 2010 - Male; Total - 40 to 44 years
est72010sex2_age40to44,Population Estimate (as of July 1) - 2010 - Female; Total - 40 to 44 years
