,AREA,TITLE,AVGEMP,TOTWAGE,ANNAVGSAL
112,Albany County,Primary Metal Manufacturing,48,2450221,51046
113,Albany County,Fabricated Metal Product Manufacturing,912,65673772,72011
114,Albany County,Architectural and Structural Metals,283,16583614,58599
115,Albany County,Plate Work/Fabricated Structural Product,188,10932080,58149
116,Albany County,Fabricated Structural Metal Mfg,81,4132820,51022
117,Albany County,Ornamental & Architectural Metal Product,95,5651534,59490
118,Albany County,Sheet Metal Work Manufacturing,89,5365692,60289
119,Albany County,Machine Shops and Threaded Products,87,6887681,79169
120,Albany County,Machine Shops,87,6887681,79169
121,Albany County,Other Fabricated Metal Product Mfg,410,29452956,71836
122,Albany County,Machinery Manufacturing,557,45462103,81620
123,Albany County,Industrial Machinery Manufacturing,158,12388456,78408
124,Albany County,Industrial machinery manufacturing,158,12388456,78408
125,Albany County,Computer and Electronic Product Mfg,643,53141327,82646
126,Albany County,Electrical Equipment and Appliances,422,29161311,69103
127,Albany County,Electrical Equipment Manufacturing,113,6109327,54065
128,Albany County,Transportation Equipment Manufacturing,65,3632636,55887
129,Albany County,Furniture and Related Product Mfg,506,23785572,47007
130,Albany County,Miscellaneous Manufacturing,303,18379473,60658
131,Albany County,Medical Equipment and Supplies Mfg,113,5267642,46616
132,Albany County,Surgical Appliance and Supplies Mfg,25,1539234,61569
133,Albany County,Dental Laboratories,52,1782317,34275
134,Albany County,Other Miscellaneous Manufacturing,191,13111831,68648
135,Albany County,Sign Manufacturing,49,1865652,38075
136,Albany County,All Other Miscellaneous Manufacturing,89,7344167,82519
137,Albany County,All Other Miscellaneous Manufacturing,86,6921118,80478
138,Albany County,Wholesale Trade,6423,474895802,73937
139,Albany County,"Merchant Wholesalers, Durable Goods",4597,353798713,76963
140,Albany County,Motor Vehicle/Part Merchant Wholesalers,644,31079714,48260
141,Albany County,Motor Vehicle Merchant Wholesalers,353,18643556,52815
142,Albany County,New Motor Vehicle Part Merchant Whsle,244,10575580,43343
143,Albany County,Tire and Tube Merchant Wholesalers,45,1785984,39689
144,Albany County,Furniture & Furnishings Merchant Whsle,118,6971273,59079
145,Albany County,Furniture Merchant Wholesalers,63,3639708,57773
146,Albany County,Home Furnishing Merchant Wholesalers,55,3331565,60574
147,Albany County,Lumber and Supply Merchant Wholesalers,420,29437697,70090
148,Albany County,Lumber and Wood Merchant Wholesalers,152,11014149,72462
149,Albany County,Masonry Material Merchant Wholesalers,114,8837732,77524
150,Albany County,Roofing and Siding Merchant Wholesalers,140,8796891,62835
151,Albany County,Other Construction Supply Merchant Whsle,14,788925,56352
152,Albany County,Commercial Goods Merchant Wholesalers,1054,114023627,108182
153,Albany County,Office Equipment Merchant Wholesalers,291,18309260,62918
154,Albany County,Computer and Supply Merchant Wholesalers,532,77441165,145566
155,Albany County,Other Commercial Equip Merchant Whsle,34,1713202,50388
156,Albany County,Medical Equipment Merchant Wholesalers,59,8011896,135795
157,Albany County,Metal and Mineral Merchant Wholesalers,112,6025430,53798
158,Albany County,Metal Merchant Wholesalers,110,5905430,53686
159,Albany County,Electric Goods Merchant Wholesalers,394,35925082,91180
160,Albany County,Wiring & Equipment Merchant Wholesalers,260,24247706,93260
161,Albany County,Electric Appliance Merchant Wholesalers,10,519160,51916
162,Albany County,Other Electronic Parts Merchant Whsle,125,11158216,89266
163,Albany County,Hardware & Plumbing Merchant Wholesalers,450,38953740,86564
164,Albany County,Hardware Merchant Wholesalers,73,4214768,57737
165,Albany County,Plumbing Goods Merchant Wholesalers,115,10960572,95309
166,Albany County,HVAC Goods Merchant Wholesalers,241,22433641,93086
167,Albany County,Refrigeration Goods Merchant Wholesalers,21,1344759,64036
168,Albany County,Machinery & Supply Merchant Wholesalers,1012,72324347,71467
169,Albany County,Construction Equip Merchant Wholesalers,96,6200840,64592
170,Albany County,Farm & Garden Equip Merchant Wholesalers,50,2602747,52055
171,Albany County,Industrial Machinery Merchant Whsle,491,37027901,75413
172,Albany County,Industrial Supplies Merchant Wholesalers,267,19267957,72165
173,Albany County,Service Industry Goods Merchant Whsle,87,5186349,59613
174,Albany County,Misc Durable Goods Merchant Wholesalers,393,19057803,48493
175,Albany County,Recyclable Material Merchant Wholesalers,276,14375859,52086
176,Albany County,Jewelry Merchant Wholesalers,13,575592,44276
177,Albany County,All Other Durable Goods Merchant Whsle,38,1715211,45137
178,Albany County,"Merchant Wholesalers, Nondurable Goods",1592,102836650,64596
179,Albany County,Paper/Paper Product Merchant Wholesalers,151,13679153,90590
180,Albany County,Industrial Paper Merchant Wholesalers,17,1812564,106621
181,Albany County,Druggists' Goods Merchant Wholesalers,14,1549820,110701
182,Albany County,Apparel/Piece Goods Merchant Wholesalers,59,2454099,41595
183,Albany County,Piece Goods Merchant Wholesalers,14,536207,38301
184,Albany County,Grocery Product Merchant Wholesalers,631,38370104,60808
185,Albany County,Fruit & Vegetable Merchant Wholesalers,112,3994396,35664
186,Albany County,Other Grocery Product Merchant Whsle,326,22482292,68964
187,Albany County,Farm Product Merchant Wholesalers,35,2406373,68754
188,Albany County,Chemical Merchant Wholesalers,246,20631920,83870
189,Albany County,Plastics Material Merchant Wholesalers,43,3517311,81798
190,Albany County,Other Chemical Merchant Wholesalers,202,17114609,84726
191,Albany County,Petroleum Merchant Wholesalers,46,4391840,95475
192,Albany County,Petroleum Bulk Stations and Terminals,41,3348589,81673
193,Albany County,Misc Nondurable Goods Merchant Whsle,348,16378269,47064
194,Albany County,Farm Supplies Merchant Wholesalers,29,1550403,53462
195,Albany County,Tobacco & Product Merchant Wholesalers,87,3761364,43234
196,Albany County,Other Nondurable Goods Merchant Whsle,54,4398406,81452
197,Albany County,Electronic Markets and Agents/Brokers,234,18260439,78036
198,Albany County,Wholesale Trade Agents and Brokers,227,17780866,78330
199,Albany County,NAICS 44-45: Retail Trade,22050,700880279,31786
200,Albany County,Motor Vehicle and Parts Dealers,2941,181594559,61746
201,Albany County,Automobile Dealers,2369,153215095,64675
202,Albany County,New Car Dealers,2290,149788930,65410
203,Albany County,Used Car Dealers,79,3426165,43369
204,Albany County,Other Motor Vehicle Dealers,186,14244226,76582
205,Albany County,"Motorcycle, Boat & Other Vehicle Dealers",54,2003279,37098
206,Albany County,Boat Dealers,12,232254,19355
207,Albany County,"Auto Parts, Accessories, and Tire Stores",386,14135238,36620
208,Albany County,Automotive Parts and Accessories Stores,250,7382197,29529
209,Albany County,Tire Dealers,136,6753041,49655
210,Albany County,Furniture and Home Furnishings Stores,998,32331912,32397
211,Albany County,Furniture Stores,405,18194432,44925
212,Albany County,Home Furnishings Stores,593,14137480,23841
213,Albany County,Floor Covering Stores,81,3604132,44495
214,Albany County,Other Home Furnishings Stores,512,10533348,20573
215,Albany County,All Other Home Furnishings Stores,512,10533348,20573
216,Albany County,Electronics and Appliance Stores,1114,51460605,46194
217,Albany County,Electronics and appliances stores,1114,51460605,46194
218,Albany County,Household appliance stores,169,6335517,37488
219,Albany County,Electronics stores,945,45125088,47751
220,Albany County,Building Material & Garden Supply Stores,1707,64520864,37798
221,Albany County,Building Material and Supplies Dealers,1549,59655911,38513
222,Albany County,Home Centers,838,23302598,27807
223,Albany County,Paint and Wallpaper Stores,50,1750175,35004
224,Albany County,Hardware Stores,173,4956732,28652
225,Albany County,Other Building Material Dealers,488,29646406,60751
226,Albany County,Lawn & Garden Equipment/Supplies Stores,158,4864953,30791
227,Albany County,"Nursery, Garden & Farm Supply Stores",148,4423932,29891
228,Albany County,Food and Beverage Stores,4620,107444802,23256
229,Albany County,Grocery Stores,4126,97736573,23688
230,Albany County,Supermarkets and Other Grocery Stores,3866,92687549,23975
231,Albany County,Convenience Stores,260,5049024,19419
232,Albany County,Specialty Food Stores,182,3294889,18104
233,Albany County,Meat Markets,59,1154345,19565
234,Albany County,Other Specialty Food Stores,111,1935495,17437
235,Albany County,Baked Goods Stores,28,546947,19534
236,Albany County,All Other Specialty Food Stores,67,1253211,18705
237,Albany County,"Beer, Wine, and Liquor Stores",312,6413340,20556
238,Albany County,Health and Personal Care Stores,1363,53104811,38962
239,Albany County,Pharmacies and Drug Stores,829,33270079,40133
240,Albany County,Cosmetic and Beauty Supply Stores,171,2892626,16916
241,Albany County,Optical Goods Stores,216,9620606,44540
242,Albany County,Other Health and Personal Care Stores,147,7321500,49806
243,Albany County,Food (Health) Supplement Stores,61,2559783,41964
244,Albany County,All Other Health & Personal Care Stores,86,4761717,55369
245,Albany County,Gasoline Stations,907,21429392,23627
246,Albany County,Gasoline Stations w/ Convenience Stores,843,18751512,22244
247,Albany County,Other Gasoline Stations,64,2677880,41842
248,Albany County,Clothing and Clothing Accessories Stores,2616,45157870,17262
249,Albany County,Clothing Stores,2062,32650483,15834
250,Albany County,Men's Clothing Stores,54,1661505,30769
251,Albany County,Women's Clothing Stores,498,7852386,15768
252,Albany County,Children's and Infants' Clothing Stores,175,2642331,15099
253,Albany County,Family Clothing Stores,750,11392015,15189
254,Albany County,Clothing Accessories Stores,64,1191325,18614
255,Albany County,Other Clothing Stores,520,7910921,15213
256,Albany County,Shoe Stores,319,4997463,15666
257,Albany County,"Jewelry, Luggage & Leather Goods Stores",235,7509924,31957
258,Albany County,Jewelry Stores,235,7509924,31957
259,Albany County,Sporting Goods/Hobby/Book/Music Stores,946,20928644,22123
260,Albany County,Sporting Goods/Musical Instrument Stores,777,16078937,20694
261,Albany County,Sporting Goods Stores,403,8633153,21422
262,Albany County,"Hobby, Toy, and Game Stores",242,3665033,15145
263,Albany County,Musical Instrument and Supplies Stores,82,3077422,37530
264,Albany County,"Book, Periodical, and Music Stores",169,4849707,28696
265,Albany County,Book Stores and News Dealers,169,4849707,28696
266,Albany County,Book Stores,154,4620064,30000
267,Albany County,News Dealers and Newsstands,14,229643,16403
268,Albany County,General Merchandise Stores,3499,78818131,22526
269,Albany County,Department Stores,1634,31404826,19220
270,Albany County,General Merchandise Stores,1865,47413305,25423
271,Albany County,All Other General Merchandise Stores,383,6260623,16346
272,Albany County,Miscellaneous Store Retailers,1104,28467263,25786
273,Albany County,Florists,71,1341507,18894
274,Albany County,"Office Supply, Stationery & Gift Stores",342,5916937,17301
275,Albany County,Office Supplies and Stationery Stores,103,2111687,20502
276,Albany County,"Gift, Novelty, and Souvenir Stores",239,3805250,15922
277,Albany County,Other Miscellaneous Store Retailers,521,17879708,34318
278,Albany County,Pet and Pet Supplies Stores,191,5012310,26242
279,Albany County,Art Dealers,8,268730,33591
280,Albany County,All Other Miscellaneous Store Retailers,321,12598668,39248
281,Albany County,Tobacco Stores,91,2628732,28887
282,Albany County,Store Retailers Not Specified Elsewhere,230,9969936,43348
283,Albany County,Nonstore Retailers,236,15621426,66192
284,Albany County,Electronic Shopping & Mail-Order Houses,83,7017029,84543
285,Albany County,Electronic Shopping and Mail-Order Houses,83,7017029,84543
286,Albany County,Vending Machine Operators,11,264096,24009
287,Albany County,Direct Selling Establishments,142,8340301,58735
288,Albany County,Fuel Dealers,135,8204121,60771
289,Albany County,Fuel dealers,135,8204121,60771
290,Albany County,Other Direct Selling Establishments,7,136180,19454
291,Albany County,NAICS 48-49: Transportation and Warehousing,6159,269596541,43773
292,Albany County,Air Transportation,313,15532740,49625
293,Albany County,Scheduled Air Transportation,313,15532740,49625
294,Albany County,Scheduled Passenger Air Transportation,313,15532740,49625
295,Albany County,Truck Transportation,1474,83915390,56930
296,Albany County,General Freight Trucking,1024,58125489,56763
297,Albany County,"General Freight Trucking, Local",522,28057388,53750
298,Albany County,"General Freight Trucking, Long-Distance",502,30068101,59897
299,Albany County,"General Freight Trucking, Long-Dist TL",107,5148658,48118
300,Albany County,"General Freight Trucking, Long-Dist LTL",396,24919443,62928
301,Albany County,Specialized Freight Trucking,449,25789901,57439
302,Albany County,Used Household and Office Goods Moving,164,7022055,42817
303,Albany County,"Other Specialized Trucking, Local",79,4652749,58896
304,Albany County,"Other Specialized Trucking, Long-Dist",206,14115097,68520
305,Albany County,Transit and Ground Passenger Transport,1092,29509900,27024
306,Albany County,Taxi and Limousine Service,278,6896941,24809
307,Albany County,Taxi Service,154,3475416,22568
308,Albany County,Limousine Service,124,3421525,27593
309,Albany County,Limosine Service,124,3421525,27593
310,Albany County,School and Employee Bus Transportation,402,9311978,23164
311,Albany County,Other Ground Passenger Transportation,317,9211988,29060
312,Albany County,Special Needs Transportation,310,9062513,29234
313,Albany County,Support Activities for Transportation,792,35315533,44590
314,Albany County,Support Activities for Air Transport,276,10704884,38786
315,Albany County,Airport Operations,270,10307794,38177
316,Albany County,Other Airport Operations,270,10307794,38177
317,Albany County,"Support Activities, Road Transportation",320,14895723,46549
318,Albany County,Motor Vehicle Towing,110,5366860,48790
319,Albany County,"Other Support Activities, Road Transport",210,9528863,45376
320,Albany County,Freight Transportation Arrangement,115,6655862,57877
321,Albany County,Couriers and Messengers,1794,76239302,42497
322,Albany County,Couriers,1682,70948205,42181
323,Albany County,Local Messengers and Local Delivery,112,5291097,47242
324,Albany County,Warehousing and Storage,681,28051784,41192
325,Albany County,General Warehousing and Storage,594,23233772,39114
326,Albany County,Other Warehousing and Storage,87,4818012,55379
327,Albany County,Information,5402,481730564,89176
328,Albany County,Publishing Industries,1325,169310335,127781
329,Albany County,"Newspaper, Book, & Directory Publishers",559,49500967,88553
330,Albany County,Periodical Publishers,77,8278006,107507
331,Albany County,Software Publishers,766,119809368,156409
332,Albany County,Motion Picture & Sound Recording Ind,291,10361779,35607
333,Albany County,Motion Picture and Video Industries,203,6706132,33035
334,Albany County,Motion Picture and Video Production,56,3857263,68880
335,Albany County,Broadcasting (except Internet),449,26871409,59847
336,Albany County,Radio and Television Broadcasting,449,26871409,59847
337,Albany County,Radio Broadcasting,203,10838366,53391
338,Albany County,Radio Stations,201,10672296,53096
339,Albany County,Television Broadcasting,246,16033043,65175
340,Albany County,Telecommunications,1828,150028203,82072
341,Albany County,Telecommunications Resellers,1732,146022033,84308
342,Albany County,Wired Telecommunications Carriers,1727,145476827,84237
343,Albany County,Other Telecommunications,96,4006170,41731
344,Albany County,Telecommunications resellers,96,4006170,41731
345,Albany County,"ISPs, Search Portals, & Data Processing",1223,106491476,87074
346,Albany County,Data Processing and Related Services,1223,106491476,87074
347,Albany County,Other Information Services,286,18667362,65270
348,Albany County,Libraries and Archives,112,3740842,33400
349,Albany County,Internet publishing and web search portals,168,14468068,86119
350,Albany County,Finance and Insurance,12495,1141953950,91393
351,Albany County,Credit Intermediation & Related Activity,2345,186736324,79632
352,Albany County,Depository Credit Intermediation,1828,136726911,74796
353,Albany County,Commercial Banking,780,69903763,89620
354,Albany County,Savings Institutions,237,17180811,72493
355,Albany County,Credit Unions,811,49578342,61132
356,Albany County,Nondepository Credit Intermediation,398,39265079,98656
357,Albany County,Other Nondeposit Credit Intermediation,394,39014195,99021
358,Albany County,Consumer Lending,30,2133294,71110
359,Albany County,Real Estate Credit,363,36880901,101600
360,Albany County,Activities Rel to Credit Intermediation,120,10744334,89536
361,Albany County,Mortgage and Nonmortgage Loan Brokers,36,2547468,70763
362,Albany County,Financial Transaction Process/Clearing,64,6324883,98826
363,Albany County,Financial Investment & Related Activity,842,134434354,159661
364,Albany County,Security & Commodity Investment Activity,572,102846626,179802
365,Albany County,Investment Banking & Securities Dealing,36,11954576,332072
366,Albany County,Securities Brokerage,530,90808347,171337
367,Albany County,Other Financial Investment Activities,271,31587728,116560
368,Albany County,Portfolio Management,108,13405598,124126
369,Albany County,Investment Advice,157,16450370,104779
370,Albany County,Insurance Carriers & Related Activities,9300,820570097,88233
371,Albany County,Insurance Carriers,7032,622096487,88467
372,Albany County,Direct Life & Health Insurance Carriers,5896,530097420,89908
373,Albany County,Direct Life Insurance Carriers,314,25826486,82250
374,Albany County,Direct Health/Medical Insurance Carriers,5582,504270934,90339
375,Albany County,"Direct Insurers, except Life and Health",1105,84005460,76023
376,Albany County,Direct Property and Casualty Insurers,1030,77307806,75056
377,Albany County,Direct Title Insurance Carriers,71,6520867,91843
378,Albany County,"Insurance Agencies, Brokerages & Support",2268,198473610,87510
379,Albany County,Insurance Agencies and Brokerages,1551,139752657,90105
380,Albany County,Other Insurance Related Activities,717,58720953,81898
381,Albany County,Claims Adjusting,10,1020449,102045
382,Albany County,Third Party Admin of Insurance Funds,595,47444479,79739
383,Albany County,All Other Insurance Related Activities,112,10256025,91572
384,Albany County,"Funds, Trusts & Other Financial Vehicles",7,213175,30454
385,Albany County,Insurance and Employee Benefit Funds,4,184231,46058
386,Albany County,Real Estate and Rental and Leasing,3356,174710623,52059
387,Albany County,Real Estate,2413,124746076,51698
388,Albany County,Lessors of Real Estate,1163,60921402,52383
389,Albany County,Lessors of Residential Buildings,609,27142717,44569
390,Albany County,Lessors of Nonresidential Buildings,389,14867018,38219
391,Albany County,Miniwarehouses and Self-Storage Units,41,1917369,46765
392,Albany County,Miniwarehouses and Self-Storage Unit,41,1917369,46765
393,Albany County,Offices of Real Estate Agents & Brokers,329,22864407,69497
394,Albany County,Activities Related to Real Estate,921,40960267,44474
395,Albany County,Real Estate Property Managers,850,37016109,43548
396,Albany County,Residential Property Managers,452,18221716,40314
397,Albany County,Nonresidential Property Managers,399,18794393,47104
398,Albany County,Offices of Real Estate Appraisers,15,983520,65568
399,Albany County,Other Activities Related to Real Estate,56,2960638,52869
400,Albany County,Rental and Leasing Services,943,49957626,52977
401,Albany County,Automotive Equipment Rental and Leasing,548,24353796,44441
402,Albany County,Passenger Car Rental and Leasing,286,11482116,40147
403,Albany County,Passenger Car Rental,282,11434116,40547
404,Albany County,"Truck, Trailer and RV Rental and Leasing",262,12871680,49129
405,Albany County,Consumer Goods Rental,116,4741789,40877
406,Albany County,Consumer Electronics & Appliances Rental,26,849883,32688
407,Albany County,Other Consumer Goods Rental,90,3891906,43243
408,Albany County,Formal Wear and Costume Rental,9,154083,17120
409,Albany County,Machinery & Equipment Rental & Leasing,247,18960660,76764
410,Albany County,Heavy Machinery Rental and Leasing,222,17502685,78841
411,Albany County,Other Heavy Machinery Rental and Leasing,222,17502685,78841
412,Albany County,Other Machinery Rental and Leasing,24,1403975,58499
413,Albany County,Professional and Technical Services,15345,1348664846,87890
414,Albany County,Legal Services,2864,241275271,84244
415,Albany County,Offices of Lawyers,2718,230771739,84905
416,Albany County,Other Legal Services,146,10503532,71942
417,Albany County,Title Abstract and Settlement Offices,43,3630234,84424
418,Albany County,All Other Legal Services,103,6873298,66731
419,Albany County,Accounting and Bookkeeping Services,1277,97338822,76225
420,Albany County,Offices of Certified Public Accountants,768,72137607,93929
421,Albany County,Tax Preparation Services,89,1838990,20663
422,Albany County,Payroll Services,181,13477720,74463
423,Albany County,Other Accounting Services,240,9884505,41185
424,Albany County,Architectural and Engineering Services,2373,220002593,92711
425,Albany County,Architectural Services,377,31524096,83618
426,Albany County,Architechtural Services,377,31524096,83618
427,Albany County,Engineering Services,1803,175356641,97258
428,Albany County,Building Inspection Services,25,1335151,53406
429,Albany County,Testing Laboratories,129,8706703,67494
430,Albany County,Specialized Design Services,37,1808423,48876
431,Albany County,Interior Design Services,15,523162,34877
432,Albany County,Graphic Design Services,14,812159,58011
433,Albany County,Computer Systems Design and Rel Services,3140,381113748,121374
434,Albany County,Custom Computer Programming Services,1126,119527680,106152
435,Albany County,Computer Systems Design Services,1972,258569456,131120
436,Albany County,Computer Facilities Management Services,34,2436028,71648
437,Albany County,Other Computer Related Services,9,580584,64509
438,Albany County,Management & Technical Consulting Svc,997,82585523,82834
439,Albany County,Management Consulting Services,839,70226348,83702
440,Albany County,Administrative Management Consulting Svc,368,34761685,94461
441,Albany County,Human Resource Consulting Services,118,11336701,96074
442,Albany County,Marketing Consulting Services,160,8406812,52543
443,Albany County,Process & Logistics Consulting Services,12,729031,60753
444,Albany County,Other Management Consulting Services,182,14992119,82374
445,Albany County,Environmental Consulting Services,71,4234682,59643
446,Albany County,Other Technical Consulting Services,87,8124493,93385
447,Albany County,Scientific Research and Development Svc,3368,233010254,69184
448,Albany County,Physical/Engineering/Biological Research,1505,125018221,83069
449,Albany County,Research and Development in Nanotechnology,18,2582506,143473
450,Albany County,Social Science/Humanities Research,1863,107992033,57967
451,Albany County,Advertising and Related Services,588,56535107,96148
452,Albany County,Advertising Agencies,215,18652541,86756
453,Albany County,Public Relations Agencies,230,28842558,125402
454,Albany County,Other Services Related to Advertising,22,994216,45192
455,Albany County,Other Professional & Technical Services,701,34995105,49922
456,Albany County,Marketing Research & Public Opinion Poll,40,1450280,36257
457,Albany County,Photographic Services,68,1931412,28403
458,Albany County,"Photography Studios, Portrait",67,1913161,28555
459,Albany County,Translation and Interpretation Services,2,47523,23762
460,Albany County,Veterinary Services,485,23281829,48004
461,Albany County,All Other Professional & Technical Svc,105,8284061,78896
462,Albany County,Management of Companies and Enterprises,3957,305790508,77278
463,Albany County,Offices of Other Holding Companies,9,2817035,313004
464,Albany County,Managing Offices,3949,302973473,76722
465,Albany County,Administrative and Waste Services,12102,432555383,35742
466,Albany County,Administrative and Support Services,11458,392796637,34281
467,Albany County,Office Administrative Services,526,46996003,89346
468,Albany County,Facilities Support Services,7,532841,76120
469,Albany County,Employment Services,5332,190763473,35777
470,Albany County,Employment Placement Agencies,319,8616678,27012
471,Albany County,Employment placement agencies,292,7597745,26020
